OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1639;"B04-1671";"Waternet";"2887";"onbekend";"onbekend";"0.7";"-29.0";-21.8;"POINT(4.837696,52.401009)";"POINT(52.401009,4.837696)";4.837696;52.401009;
1640;"B04-1672";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-20;"POINT(4.838155,52.400733)";"POINT(52.400733,4.838155)";4.838155;52.400733;
1641;"B04-1672";"Waternet";"2887";"onbekend";"onbekend";"0.4";"-30.3";-20;"POINT(4.837487,52.401269)";"POINT(52.401269,4.837487)";4.837487;52.401269;
1642;"B04-1673";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-19.6;"POINT(4.838387,52.401003)";"POINT(52.401003,4.838387)";4.838387;52.401003;
1643;"B04-1673";"Waternet";"2887";"onbekend";"onbekend";"0.5";"-27.6";-19.8;"POINT(4.837694,52.401225)";"POINT(52.401225,4.837694)";4.837694;52.401225;
1644;"B04-1674";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-19.2;"POINT(4.838575,52.401247)";"POINT(52.401247,4.838575)";4.838575;52.401247;
1645;"B04-1674";"Waternet";"2887";"onbekend";"onbekend";"0.6";"-31.1";-19.3;"POINT(4.837841,52.401163)";"POINT(52.401163,4.837841)";4.837841;52.401163;
1646;"B04-1679";"Waternet";"3111";"onbekend";"onbekend";"onbekend";"onbekend";-19;"POINT(4.83775,52.400255)";"POINT(52.400255,4.83775)";4.83775;52.400255;
1647;"B04-1680";"Waternet";"3111";"onbekend";"onbekend";"onbekend";"onbekend";-22.2;"POINT(4.837513,52.400424)";"POINT(52.400424,4.837513)";4.837513;52.400424;
1648;"B04-1681";"Waternet";"3111";"onbekend";"onbekend";"onbekend";"onbekend";-21.7;"POINT(4.837189,52.40045)";"POINT(52.40045,4.837189)";4.837189;52.40045;
1649;"B04-1684";"Waternet";"3123";"onbekend";"onbekend";"onbekend";"onbekend";-16.4;"POINT(4.82106,52.40698)";"POINT(52.40698,4.82106)";4.82106;52.40698;
1650;"B04-1685";"Waternet";"3123";"onbekend";"onbekend";"0.8";"-31.3";-21.2;"POINT(4.821237,52.406953)";"POINT(52.406953,4.821237)";4.821237;52.406953;
1651;"B04-1686";"Waternet";"3289";"onbekend";"onbekend";"1.5";"-25.6";-12.7;"POINT(4.829818,52.411775)";"POINT(52.411775,4.829818)";4.829818;52.411775;
1652;"B04-1689";"Waternet";"3360";"onbekend";"onbekend";"0.8";"-24.1";-18.5;"POINT(4.839641,52.401791)";"POINT(52.401791,4.839641)";4.839641;52.401791;
1653;"B04-1690";"Waternet";"3360";"onbekend";"onbekend";"1.2";"-24.2";-11.6;"POINT(4.84145,52.401692)";"POINT(52.401692,4.84145)";4.84145;52.401692;
1654;"B04-1692";"Waternet";"3360";"onbekend";"onbekend";"0.9";"-24.0";-12;"POINT(4.844467,52.401265)";"POINT(52.401265,4.844467)";4.844467;52.401265;
1655;"B04-1696";"Waternet";"3440";"onbekend";"onbekend";"-0.5";"-36.8";-19.2;"POINT(4.825108,52.406522)";"POINT(52.406522,4.825108)";4.825108;52.406522;
1656;"B04-1697";"Waternet";"3440";"onbekend";"onbekend";"-0.5";"-37.0";-12.6;"POINT(4.825637,52.406525)";"POINT(52.406525,4.825637)";4.825637;52.406525;
1657;"B04-1698";"Waternet";"3440";"onbekend";"onbekend";"-0.5";"-37.0";-12.6;"POINT(4.826651,52.406512)";"POINT(52.406512,4.826651)";4.826651;52.406512;
1658;"B04-1699";"Waternet";"3440";"onbekend";"onbekend";"-0.5";"-36.2";-12.8;"POINT(4.827165,52.406532)";"POINT(52.406532,4.827165)";4.827165;52.406532;
1659;"B04-1701";"Waternet";"3938";"onbekend";"onbekend";"0.5";"-22.5";-12.5;"POINT(4.849694,52.400381)";"POINT(52.400381,4.849694)";4.849694;52.400381;
1660;"B04-1702";"Waternet";"3938";"onbekend";"onbekend";"0.8";"-22.6";-13;"POINT(4.849632,52.400641)";"POINT(52.400641,4.849632)";4.849632;52.400641;
1661;"B04-1703";"Waternet";"3938";"onbekend";"onbekend";"0.8";"-22.6";-12.2;"POINT(4.849942,52.400508)";"POINT(52.400508,4.849942)";4.849942;52.400508;
