OBJECTNUMMER;Initiatiefnemer;Activiteit;Sector;Jaar;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
701;"Persmuseum/Nederlands instituut voor Beeld en Geluid";"Museum";"Cultuur";2018;"POINT(5.1728428,52.2356022)";"POINT(52.2356022,5.1728428)";5.1728428;52.2356022;
702;"Vroonland";"meubels en interieur design";"Kantoor en bedrijf";2018;"POINT(4.8230038,52.4171474)";"POINT(52.4171474,4.8230038)";4.8230038;52.4171474;
703;"Franse consulaat";"kantoor van de consul";"Kantoor en bedrijf";2018;"POINT(4.8865451,52.3344503)";"POINT(52.3344503,4.8865451)";4.8865451;52.3344503;
704;"Amsterdome";"evenementenlocatie";"Leisure in- en outdoor";2018;"POINT(4.8204611,52.3861566)";"POINT(52.3861566,4.8204611)";4.8204611;52.3861566;
705;"De Theatermachine";"licht ontwerpbureau";"Kantoor en bedrijf";2018;"POINT(4.8317001,52.4205818)";"POINT(52.4205818,4.8317001)";4.8317001;52.4205818;
706;"SUE Amsterdam";"gedragdpsychologie en creatie";"Kantoor en bedrijf";2018;"POINT(4.9079323,52.3723837)";"POINT(52.3723837,4.9079323)";4.9079323;52.3723837;
707;"Studio Nina van Veluw";"permanente make up en wimperextensions";"Kantoor en bedrijf";2018;"POINT(4.9141145,52.3558426)";"POINT(52.3558426,4.9141145)";4.9141145;52.3558426;
708;"Tatkraft Filosofie";"filosofische coaching en trainingen";"Kantoor en bedrijf";2018;"POINT(4.9009191,52.3537618)";"POINT(52.3537618,4.9009191)";4.9009191;52.3537618;
709;"OPR-Finance BV";"bedrijfskrediet";"Kantoor en bedrijf";2018;"POINT(4.9153842,52.3625212)";"POINT(52.3625212,4.9153842)";4.9153842;52.3625212;
710;"Dala Zorg";"dagbesteding";"Maatschappelijk";2018;"POINT(4.9552091,52.3906572)";"POINT(52.3906572,4.9552091)";4.9552091;52.3906572;
711;"Tony`s Chocolonely";"Chocolade";"Leisure in- en outdoor";2018;"POINT(4.8532242,52.418273)";"POINT(52.418273,4.8532242)";4.8532242;52.418273;
712;"Tubantia";"secretariaat";"Cultuur";2018;"POINT(4.9320775,52.3685843)";"POINT(52.3685843,4.9320775)";4.9320775;52.3685843;
713;"theatergroep Playback";"interactief theater met maatschappelijke thema&#096;s";"Cultuur";2018;"POINT(5.0984438,52.0793519)";"POINT(52.0793519,5.0984438)";5.0984438;52.0793519;
714;"De Fietskoerier";"Fietskoerierbedrijf";"Kantoor en bedrijf";2019;"POINT(4.8520938,52.363185)";"POINT(52.363185,4.8520938)";4.8520938;52.363185;
715;"Stadsnomaden";"Stadsnomaden";"Maatschappelijk";2019;"POINT(4.9105745,52.4158059)";"POINT(52.4158059,4.9105745)";4.9105745;52.4158059;
716;"Gebrouwen door Vrouwen";"Bar";"Horeca";2019;"POINT(4.8622884,52.3653755)";"POINT(52.3653755,4.8622884)";4.8622884;52.3653755;
717;"Stichting Mentorschap Amsterdam";"ruimte voor trainingen vrijwilligers";"Kantoor en bedrijf";2019;"POINT(4.9039801,52.3666609)";"POINT(52.3666609,4.9039801)";4.9039801;52.3666609;
718;"Branding a better world";"Duurzame communicatie voor duurzame merken";"Kantoor en bedrijf";2019;"POINT(4.8845051,52.3749456)";"POINT(52.3749456,4.8845051)";4.8845051;52.3749456;
719;"Squarewise";"kennisbureau duurzame energie";"Kantoor en bedrijf";2019;"POINT(4.9216474,52.3857793)";"POINT(52.3857793,4.9216474)";4.9216474;52.3857793;
720;"Stichting OPEN";"stichting ter bevordering onderzoek naar psychedelische middelen";"Kantoor en bedrijf";2019;"POINT(4.8271162,52.3801068)";"POINT(52.3801068,4.8271162)";4.8271162;52.3801068;
721;"Stichting TENT";"Circustent theaterproducties";"Cultuur";2019;"POINT(4.9198776,52.3824961)";"POINT(52.3824961,4.9198776)";4.9198776;52.3824961;
722;"Bar Buka";"Lesbische bar";"Horeca";2019;"POINT(4.8925542,52.3553638)";"POINT(52.3553638,4.8925542)";4.8925542;52.3553638;
723;"ArtiVisuals";"Audiovisuele producten";"Kantoor en bedrijf";2019;"POINT(4.9187089,52.3333314)";"POINT(52.3333314,4.9187089)";4.9187089;52.3333314;
724;"TrueKinetix";"fitness fietsen";"Kantoor en bedrijf";2019;"POINT(4.6223345,52.3601395)";"POINT(52.3601395,4.6223345)";4.6223345;52.3601395;
725;"Restauratie en meubelmakerij Splinter";"Restauratie en meubelmakerij";"Kantoor en bedrijf";2019;"POINT(4.860137,52.3654553)";"POINT(52.3654553,4.860137)";4.860137;52.3654553;
726;"sQuare";"Broedplaats MBO afgestudeerde creatieven";"Cultuur";2019;"POINT(4.9057613,52.3842099)";"POINT(52.3842099,4.9057613)";4.9057613;52.3842099;
727;"DropOuts";"creatief bureau voor concept, creatie en communicatie";"Kantoor en bedrijf";2019;"POINT(4.9478392,52.3058445)";"POINT(52.3058445,4.9478392)";4.9478392;52.3058445;
728;"De Toverfluit";"Balletschool";"Cultuur";2019;"POINT(4.9036002,52.3834123)";"POINT(52.3834123,4.9036002)";4.9036002;52.3834123;
729;"Het Atelier der Verbeelding";"werkruimte voor Omgevingsvisie Amsterdam 2050";"Maatschappelijk";2019;"POINT(4.9060625,52.3709095)";"POINT(52.3709095,4.9060625)";4.9060625;52.3709095;
730;"De Veldpost - Stichting Veteranen Amsterdam";"Stichting Veteranen Amsterdam";"Maatschappelijk";2019;"POINT(4.8885053,52.4151584)";"POINT(52.4151584,4.8885053)";4.8885053;52.4151584;
731;"Amsterdam Capital Week";"3 daags evenement voor gemeente, ondernemers en investeerders.";"Leisure in- en outdoor";2019;"POINT(4.9067306,52.3621175)";"POINT(52.3621175,4.9067306)";4.9067306;52.3621175;
732;"Rudolphhi";"theatermakers";"Cultuur";2019;"POINT(4.8726667,52.375958)";"POINT(52.375958,4.8726667)";4.8726667;52.375958;
733;"Depster Design";"tassenatelier";"Kantoor en bedrijf";2019;"POINT(4.9040644,52.3573661)";"POINT(52.3573661,4.9040644)";4.9040644;52.3573661;
735;"Bartimeus";"expertise centrum voor mensen met visuele beperking";"Maatschappelijk";2019;"POINT(4.8462442,52.390448)";"POINT(52.390448,4.8462442)";4.8462442;52.390448;
736;"Stichting Amsterdamse Zwerfkatten (tijdelijk)";"dierenopvang";"Kantoor en bedrijf";2019;"POINT(4.6991843,52.3131407)";"POINT(52.3131407,4.6991843)";4.6991843;52.3131407;
737;"Next Nature Network";"expositieruimte";"Cultuur";2019;"POINT(4.9157438,52.3719495)";"POINT(52.3719495,4.9157438)";4.9157438;52.3719495;
738;"De Psychotherapie Amsterdam";"Psychotherapie praktijk";"Maatschappelijk";2019;"POINT(4.9306537,52.3307408)";"POINT(52.3307408,4.9306537)";4.9306537;52.3307408;
739;"Kentalis";"Ondersteuning bij slechthorendheid en taalontwikkelingstoornissen";"Maatschappelijk";2019;"POINT(4.8362462,52.3605019)";"POINT(52.3605019,4.8362462)";4.8362462;52.3605019;
740;"Kentalis";"Ondersteuning bij slechthorendheid en taalontwikkelingstoornissen";"Maatschappelijk";2019;"POINT(4.8373329,52.3596784)";"POINT(52.3596784,4.8373329)";4.8373329;52.3596784;
741;"Kentalis";"Ondersteuning bij slechthorendheid en taalontwikkelingstoornissen";"Maatschappelijk";2019;"POINT(4.839136,52.3632088)";"POINT(52.3632088,4.839136)";4.839136;52.3632088;
742;"Letterhelden";"Tekstbureau";"Kantoor en bedrijf";2019;"POINT(4.9113815,52.3620167)";"POINT(52.3620167,4.9113815)";4.9113815;52.3620167;
743;"Build in Amsterdam";"Branding agency";"Kantoor en bedrijf";2019;"POINT(4.8559607,52.3599316)";"POINT(52.3599316,4.8559607)";4.8559607;52.3599316;
744;"Elfenbankje";"Kinderdagverblijf";"Maatschappelijk";2019;"POINT(4.9024106,52.3562355)";"POINT(52.3562355,4.9024106)";4.9024106;52.3562355;
745;"Blndr";"Marketing foto booths";"Kantoor en bedrijf";2019;"POINT(4.8273809,52.3910362)";"POINT(52.3910362,4.8273809)";4.8273809;52.3910362;
746;"Kaskantine";"Horeca";"Horeca";2019;"POINT(4.838359,52.3445271)";"POINT(52.3445271,4.838359)";4.838359;52.3445271;
747;"WONDR";"selfiemuseum";"Leisure in- en outdoor";2019;"POINT(4.9208031,52.3857756)";"POINT(52.3857756,4.9208031)";4.9208031;52.3857756;
748;"Fotovakschool";"fotovakschool";"Onderwijs";2014;"POINT(4.9517126,52.2994325)";"POINT(52.2994325,4.9517126)";4.9517126;52.2994325;
749;"Marloes Lupken";"Tatoeages";"Kantoor en bedrijf";2019;"POINT(4.5318957,52.3744135)";"POINT(52.3744135,4.5318957)";4.5318957;52.3744135;
750;"BuurtzorgT";"Psychiatrische behandelingen";"Maatschappelijk";2019;"POINT(4.9363589,52.3604932)";"POINT(52.3604932,4.9363589)";4.9363589;52.3604932;
751;"Braids4lkidss";"kinderactiviteiten";"Maatschappelijk";2019;"POINT(4.945489,52.3037965)";"POINT(52.3037965,4.945489)";4.945489;52.3037965;
752;"CreativeFit";"sportschool";"Sport";2019;"POINT(4.8433817,52.2384441)";"POINT(52.2384441,4.8433817)";4.8433817;52.2384441;
754;"Impact Institute sociale onderneming";"hulp ondernemingen bij implementatie impact economy";"Kantoor en bedrijf";2019;"POINT(4.8844033,52.3844553)";"POINT(52.3844553,4.8844033)";4.8844033;52.3844553;
755;"De Rode Loper op School";"Kinder Kunst Biennale";"Cultuur";2019;"POINT(4.9083944,52.3759628)";"POINT(52.3759628,4.9083944)";4.9083944;52.3759628;
756;"Fotovakschool";"foto vak school";"Onderwijs";2019;"POINT(4.9517341,52.2994205)";"POINT(52.2994205,4.9517341)";4.9517341;52.2994205;
757;"Universiteit van Nederland";"Universiteit";"Onderwijs";2019;"POINT(4.9173556,52.3723633)";"POINT(52.3723633,4.9173556)";4.9173556;52.3723633;
758;"Kruidenthee Amsterdam";"Kweken van kruidenthee";"Kantoor en bedrijf";2019;"POINT(4.8531676,52.382528)";"POINT(52.382528,4.8531676)";4.8531676;52.382528;
759;"Nineties Productions";"theaterproductie";"Cultuur";2019;"POINT(4.9199849,52.3824383)";"POINT(52.3824383,4.9199849)";4.9199849;52.3824383;
760;"De Toneelmeester";"theater vooropleidingen";"Cultuur";2019;"POINT(4.852159,52.3577885)";"POINT(52.3577885,4.852159)";4.852159;52.3577885;
761;"De Afwerking";"Sociale onderneming, decorbouw";"Kantoor en bedrijf";2019;"POINT(4.6468175,52.391728)";"POINT(52.391728,4.6468175)";4.6468175;52.391728;
762;"De Bartender School";"bartender school";"Horeca";2019;"POINT(4.9531599,52.2974039)";"POINT(52.2974039,4.9531599)";4.9531599;52.2974039;
763;"Schweigman&";"theaterproductie";"Cultuur";2019;"POINT(4.9198133,52.3824295)";"POINT(52.3824295,4.9198133)";4.9198133;52.3824295;
764;"De Kaskantine";"restaurant";"Horeca";2019;"POINT(4.8384641,52.3422097)";"POINT(52.3422097,4.8384641)";4.8384641;52.3422097;
765;"SMARTLAND";"landschapsarchitecten";"Kantoor en bedrijf";2019;"POINT(4.8356558,52.3898062)";"POINT(52.3898062,4.8356558)";4.8356558;52.3898062;
766;"Stadsnomaden";"Stadsnomaden";"Maatschappelijk";2019;"POINT(4.8008391,52.3964117)";"POINT(52.3964117,4.8008391)";4.8008391;52.3964117;
767;"Emancipator";"gelijkheid door mannenemancipatie";"Maatschappelijk";2019;"POINT(4.8953304,52.3573186)";"POINT(52.3573186,4.8953304)";4.8953304;52.3573186;
768;"The 100th Monkey";"community voor kinderen en bewustzijn ";"Maatschappelijk";2019;"POINT(4.9021459,52.3519964)";"POINT(52.3519964,4.9021459)";4.9021459;52.3519964;
769;"Framer Framed";"kunstgallerie";"Cultuur";2019;"POINT(4.9321483,52.3568772)";"POINT(52.3568772,4.9321483)";4.9321483;52.3568772;
770;"DECHASE";"Schoenenmerk";"Kantoor en bedrijf";2019;"POINT(4.6230419,52.207523)";"POINT(52.207523,4.6230419)";4.6230419;52.207523;
772;"Borrelplank Amsterdam";"catering";"Kantoor en bedrijf";2019;"POINT(4.8794895,52.3891212)";"POINT(52.3891212,4.8794895)";4.8794895;52.3891212;
773;"Aslan Muziekcentrum";"muziekonderwijs";"Cultuur";2019;"POINT(4.8315167,52.3524217)";"POINT(52.3524217,4.8315167)";4.8315167;52.3524217;
774;"De Correspondent";"krant";"Kantoor en bedrijf";2019;"POINT(4.8905811,52.3892684)";"POINT(52.3892684,4.8905811)";4.8905811;52.3892684;
776;"Stichting Spark";"non-profit organisatie";"Kantoor en bedrijf";2020;"POINT(4.8924026,52.3807087)";"POINT(52.3807087,4.8924026)";4.8924026;52.3807087;
777;"Bikebox";"fietsenstallingen";"Kantoor en bedrijf";2020;"POINT(5.4554996,52.2008947)";"POINT(52.2008947,5.4554996)";5.4554996;52.2008947;
778;"Guus Kieftschool";"onderwijsinstelling";"Onderwijs";2019;"POINT(4.8645102,52.3052476)";"POINT(52.3052476,4.8645102)";4.8645102;52.3052476;
779;"Daqso";"distributiebedrijf";"Kantoor en bedrijf";2020;"POINT(4.8410541,52.3574799)";"POINT(52.3574799,4.8410541)";4.8410541;52.3574799;
780;"De Kneedkamer";"massages";"Kantoor en bedrijf";2020;"POINT(4.9434602,52.3909298)";"POINT(52.3909298,4.9434602)";4.9434602;52.3909298;
781;"Chikuba";"adviesbureau kinderopvang";"Kantoor en bedrijf";2020;"POINT(4.9407678,52.3534311)";"POINT(52.3534311,4.9407678)";4.9407678;52.3534311;
