OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
724;724;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894119 52.377634,4.894329 52.377647)";"LINESTRING(52.377634 4.894119,52.377647 4.894329)";4.89422895;52.37763275;
725;725;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894358 52.377404,4.894485 52.377462)";"LINESTRING(52.377404 4.894358,52.377462 4.894485)";4.8944266;52.3774249;
726;726;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894487 52.377462,4.894652 52.377399)";"LINESTRING(52.377462 4.894487,52.377399 4.894652)";4.8945744;52.37742295;
727;727;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89236 52.375965,4.892159 52.376014)";"LINESTRING(52.375965 4.89236,52.376014 4.892159)";4.8922646;52.3759829;
728;728;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892446 52.376992,4.892412 52.376961)";"LINESTRING(52.376992 4.892446,52.376961 4.892412)";4.8924341;52.37696905;
729;729;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892412 52.376961,4.892378 52.37693)";"LINESTRING(52.376961 4.892412,52.37693 4.892378)";4.89240005;52.3769385;
730;730;"Torensteeg";"0001";"";"06";"0.6m";"GEEN";"Geen obstakels";0;"FIETSVOET";"Fietspad en voetpad";"LINESTRING(4.890203 52.374420,4.890093 52.374449,4.889994 52.374481,4.889794 52.374554)";"LINESTRING(52.374420 4.890203,52.374449 4.890093,52.374481 4.889994,52.374554 4.889794)";4.89000345;52.37447995;
731;731;"Torensteeg";"0002";"";"06";"0.6m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"FIETSVOET";"Fietspad en voetpad";"LINESTRING(4.889728 52.374500,4.889794 52.374492,4.889925 52.374469,4.890062 52.374427,4.890179 52.374388)";"LINESTRING(52.374500 4.889728,52.374492 4.889794,52.374469 4.889925,52.374427 4.890062,52.374388 4.890179)";4.88995865;52.37443795;
732;732;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890177 52.374389,4.890338 52.374332)";"LINESTRING(52.374389 4.890177,52.374332 4.890338)";4.89026235;52.374354;
733;733;"Raadhuisstraat";"0001";"";"22";"2.2m";"OVERIG|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Overig";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889797 52.373301,4.890224 52.373272,4.890344 52.373277,4.890402 52.373305)";"LINESTRING(52.373301 4.889797,52.373272 4.890224,52.373277 4.890344,52.373305 4.890402)";4.8901045;52.3732821;
734;734;"Raadhuisstraat";"0002";"";"29";"2.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889260 52.373340,4.889590 52.373318)";"LINESTRING(52.373340 4.889260,52.373318 4.889590)";4.8894298;52.37332215;
