"�..OBJECTNUMMER";"SELECTIE";"Besluitnummer";"Status";"Omschrijving";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
1409;"BLAUW";"1. Oost 4 - K1";"OK";"Spaklerweg, westzijde, tussen Daniel Goedkoopstraat en Omval, in beide richtingen";"LINESTRING(4.9214614 52.3381071,4.9213590 52.3383130,4.9211044 52.3386294,4.9210510 52.3386655,4.9207045 52.3391203,4.9204908 52.3393946,4.9203897 52.3395643,4.9203503 52.3396472,4.9200730 52.3400770,4.9198310 52.3404600,4.9197300 52.3405980,4.9193120 52.3412430,4.9192110 52.3414030,4.9191790 52.3414710,4.9191304 52.3415548,4.9188323 52.3421762,4.9187904 52.3423108,4.9186634 52.3425756,4.9184596 52.3429451,4.9183095 52.3432474,4.9182185 52.3434390,4.9180793 52.3437207)";"LINESTRING(52.3381071 4.9214614,52.3383130 4.9213590,52.3386294 4.9211044,52.3386655 4.9210510,52.3391203 4.9207045,52.3393946 4.9204908,52.3395643 4.9203897,52.3396472 4.9203503,52.3400770 4.9200730,52.3404600 4.9198310,52.3405980 4.9197300,52.3412430 4.9193120,52.3414030 4.9192110,52.3414710 4.9191790,52.3415548 4.9191304,52.3421762 4.9188323,52.3423108 4.9187904,52.3425756 4.9186634,52.3429451 4.9184596,52.3432474 4.9183095,52.3434390 4.9182185,52.3437207 4.9180793)";4.91977535;52.3409069;NA
1411;"BLAUW";"1. Oost 4 - L";"OK";"Amstelstroomlaan, zuidzijde, tussen Bella Vista straat en Spaklerweg, in beide richtingen";"LINESTRING(4.9215456 52.3379860,4.9214711 52.3379749,4.9211860 52.3379040,4.9207350 52.3377830,4.9202536 52.3376576,4.9200786 52.3375121,4.9196916 52.3374058)";"LINESTRING(52.3379860 4.9215456,52.3379749 4.9214711,52.3379040 4.9211860,52.3377830 4.9207350,52.3376576 4.9202536,52.3375121 4.9200786,52.3374058 4.9196916)";4.9206236;52.3376889;NA
1412;"BLAUW";"1. Oost 4 - K1";"OK";"Spaklerweg, westzijde, tussen Daniel Goedkoopstraat en Omval, in beide richtingen";"LINESTRING(4.9215504 52.3379854,4.9216444 52.3379201,4.9217330 52.3378450,4.9217760 52.3378000,4.9220550 52.3374380,4.9226080 52.3367460,4.9229100 52.3363800,4.9229710 52.3362730,4.9230300 52.3361020,4.9230960 52.3359490,4.9231330 52.3357820,4.9231490 52.3356450,4.9231470 52.3354660,4.9231390 52.3353470,4.9231160 52.3352070,4.9230900 52.3351200,4.9229057 52.3347411,4.9228742 52.3346973,4.9228290 52.3346820,4.9225021 52.3346831)";"LINESTRING(52.3379854 4.9215504,52.3379201 4.9216444,52.3378450 4.9217330,52.3378000 4.9217760,52.3374380 4.9220550,52.3367460 4.9226080,52.3363800 4.9229100,52.3362730 4.9229710,52.3361020 4.9230300,52.3359490 4.9230960,52.3357820 4.9231330,52.3356450 4.9231490,52.3354660 4.9231470,52.3353470 4.9231390,52.3352070 4.9231160,52.3351200 4.9230900,52.3347411 4.9229057,52.3346973 4.9228742,52.3346820 4.9228290,52.3346831 4.9225021)";4.9223547;52.3363267;NA
1420;"BLAUW";"1. Oost 4 - N";"OK";"Heusweg, weerszijden, tussen Nicolaas Tetterodestraat en Joan Muyskenweg";"LINESTRING(4.9201700 52.3326400,4.9201500 52.3326230,4.9200700 52.3326030,4.9199450 52.3325690,4.9196540 52.3324920,4.9190680 52.3323140,4.9185650 52.3321630,4.9182680 52.3320740,4.9179190 52.3319730,4.9175460 52.3318640,4.9171430 52.3317440,4.9167970 52.3316420,4.9163820 52.3315130,4.9160940 52.3314270,4.9157640 52.3313290,4.9153930 52.3312170,4.9151940 52.3311510,4.9149050 52.3310428,4.9147984 52.3309511,4.9147192 52.3309183)";"LINESTRING(52.3326400 4.9201700,52.3326230 4.9201500,52.3326030 4.9200700,52.3325690 4.9199450,52.3324920 4.9196540,52.3323140 4.9190680,52.3321630 4.9185650,52.3320740 4.9182680,52.3319730 4.9179190,52.3318640 4.9175460,52.3317440 4.9171430,52.3316420 4.9167970,52.3315130 4.9163820,52.3314270 4.9160940,52.3313290 4.9157640,52.3312170 4.9153930,52.3311510 4.9151940,52.3310428 4.9149050,52.3309511 4.9147984,52.3309183 4.9147192)";4.9174496;52.33177215;NA
1421;"BLAUW";"1. Oost 4 - N";"OK";"Heusweg, weerszijden, tussen Nicolaas Tetterodestraat en Joan Muyskenweg";"LINESTRING(4.9144667 52.3311948,4.9145450 52.3312050,4.9146110 52.3312064,4.9147399 52.3311965,4.9147917 52.3311947,4.9148650 52.3312072,4.9154560 52.3313410,4.9163040 52.3315890,4.9172790 52.3318740,4.9181550 52.3321410,4.9189410 52.3323780,4.9195720 52.3325700,4.9200474 52.3327134)";"LINESTRING(52.3311948 4.9144667,52.3312050 4.9145450,52.3312064 4.9146110,52.3311965 4.9147399,52.3311947 4.9147917,52.3312072 4.9148650,52.3313410 4.9154560,52.3315890 4.9163040,52.3318740 4.9172790,52.3321410 4.9181550,52.3323780 4.9189410,52.3325700 4.9195720,52.3327134 4.9200474)";4.91726205;52.33194705;NA
1424;"BLAUW";"1. Oost 4 - O";"OK";"Joan Muyskenweg, oostzijde, tussen Heusweg en Nieuwe Utrechtseweg, in beide richtingen";"LINESTRING(4.9128310 52.3366430,4.9128390 52.3366130,4.9128750 52.3365010,4.9129170 52.3363860,4.9130040 52.3360630,4.9131690 52.3351200,4.9135090 52.3329480,4.9136070 52.3323390,4.9136310 52.3322450,4.9136790 52.3321440,4.9137740 52.3319650,4.9139110 52.3317740,4.9140760 52.3315780,4.9142590 52.3314040,4.9143850 52.3312710,4.9144630 52.3311930)";"LINESTRING(52.3366430 4.9128310,52.3366130 4.9128390,52.3365010 4.9128750,52.3363860 4.9129170,52.3360630 4.9130040,52.3351200 4.9131690,52.3329480 4.9135090,52.3323390 4.9136070,52.3322450 4.9136310,52.3321440 4.9136790,52.3319650 4.9137740,52.3317740 4.9139110,52.3315780 4.9140760,52.3314040 4.9142590,52.3312710 4.9143850,52.3311930 4.9144630)";4.913652;52.333911;NA
1427;"BLAUW";"1. Oost 4 - F";"OK";"Mr. Treublaan, noordzijde, tussen het spoorwegviaduct en Weesperzijde";"LINESTRING(4.9159200 52.3478960,4.9155497 52.3479357,4.9154570 52.3479330,4.9139274 52.3477211,4.9138747 52.3477115,4.9137078 52.3476604)";"LINESTRING(52.3478960 4.9159200,52.3479357 4.9155497,52.3479330 4.9154570,52.3477211 4.9139274,52.3477115 4.9138747,52.3476604 4.9137078)";4.9148189;52.34779105;NA
1430;"ROOD";"1. Oost 4 - P";"OK";"Goudriaanstraat, tussen huisnummer 9 en Mr.Treublaan";"LINESTRING(4.9158930 52.3476670,4.9160480 52.3473500)";"LINESTRING(52.3476670 4.9158930,52.3473500 4.9160480)";4.9159755;52.3475015;NA
1434;"BLAUW";"1. Oost 2 - FF";"OK";"Krugerstraat, weerszijden";"LINESTRING(4.9193641 52.3537290,4.9193010 52.3536550,4.9192200 52.3535440,4.9191910 52.3535080,4.9190060 52.3533000,4.9188570 52.3531320,4.9186340 52.3528840,4.9185820 52.3528080,4.9185310 52.3527470,4.9184270 52.3526810,4.9183230 52.3526170,4.9180840 52.3524930,4.9178550 52.3523749)";"LINESTRING(52.3537290 4.9193641,52.3536550 4.9193010,52.3535440 4.9192200,52.3535080 4.9191910,52.3533000 4.9190060,52.3531320 4.9188570,52.3528840 4.9186340,52.3528080 4.9185820,52.3527470 4.9185310,52.3526810 4.9184270,52.3526170 4.9183230,52.3524930 4.9180840,52.3523749 4.9178550)";4.91861455;52.35304495;NA
1436;"BLAUW";"1. Oost 2 - FF";"OK";"Krugerstraat, weerszijden";"LINESTRING(4.9177424 52.3524879,4.9178210 52.3525190,4.9179700 52.3526000,4.9182130 52.3527310,4.9182650 52.3527630,4.9183570 52.3528410,4.9184490 52.3529200,4.9186080 52.3531050,4.9188300 52.3533560,4.9189630 52.3535070,4.9191340 52.3537070,4.9191929 52.3537713)";"LINESTRING(52.3524879 4.9177424,52.3525190 4.9178210,52.3526000 4.9179700,52.3527310 4.9182130,52.3527630 4.9182650,52.3528410 4.9183570,52.3529200 4.9184490,52.3531050 4.9186080,52.3533560 4.9188300,52.3535070 4.9189630,52.3537070 4.9191340,52.3537713 4.9191929)";4.91847265;52.3531226;NA
