OBJECTNUMMER;Locatie;Categorie;Bijschrift;Foto_object;Foto_locatie;Objectcode;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
80;"Damrak";"Voormalige waterbodem";"kogelpot, aardewerk, Friesland, 1200-1275";"https://www.archeologischekaart.amsterdam/WatBod/obj/DAM-29-2.jpg";"";"DAM-29-2";"POINT(4.894103,52.373137)";"POINT(52.373137,4.894103)";4.894103;52.373137;
81;"Damrak";"Aanplemping";"kan, steengoed, Siegburg Duitsland, 1300-1325";"https://www.archeologischekaart.amsterdam/WatBod/obj/DA-53.jpg";"";"DA-53";"POINT(4.895724,52.375417)";"POINT(52.375417,4.895724)";4.895724;52.375417;
82;"Boerenwetering";"Voormalige waterbodem";"kan,steengoed, Siegburg Duitsland, 1375-1400";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZK5-381-2.jpg";"";"NZK5-381-2";"POINT(4.894495,52.376205)";"POINT(52.376205,4.894495)";4.894495;52.376205;
83;"Rokin";"Aanplemping";"leisteen fragment, gegraveerd, 1300-1400";"https://www.archeologischekaart.amsterdam/WatBod/obj/NES2-5.jpg";"";"";"POINT(4.893165,52.37098)";"POINT(52.37098,4.893165)";4.893165;52.37098;
84;"Rokin";"Voormalige waterbodem";"kan, aardewerk, Andenne België, 1175-1200";"https://www.archeologischekaart.amsterdam/WatBod/obj/POL-63-1.jpg";"";"POL-63-1";"POINT(4.892645,52.372101)";"POINT(52.372101,4.892645)";4.892645;52.372101;
85;"perceelsloot";"Aanplemping";"kan, steengoed, Frechen Duitsland, 1594";"https://www.archeologischekaart.amsterdam/WatBod/obj/WLO-370-29.jpg";"";"WLO-370-29";"POINT(4.901027,52.368034)";"POINT(52.368034,4.901027)";4.901027;52.368034;
86;"Amstelbocht";"Aanplemping";"Schnelle, steengoed, Siegburg Duitsland, 1575-1600";"https://www.archeologischekaart.amsterdam/WatBod/obj/WLO-155-64.jpg";"";"WLO-155-64";"POINT(4.9006,52.367597)";"POINT(52.367597,4.9006)";4.9006;52.367597;
87;"Markengracht";"Voormalige waterbodem";"lepel met Pied de Biche, tin, 1700-1725";"https://www.archeologischekaart.amsterdam/WatBod/obj/MAG-2.jpg";"";"MAG-2";"POINT(4.906912,52.369121)";"POINT(52.369121,4.906912)";4.906912;52.369121;
88;"ontginningssloot";"Voormalige waterbodem";"pot, steengoed, Siegburg Duitsland, 1175-1200";"https://www.archeologischekaart.amsterdam/WatBod/obj/NDK2-105-3.jpg";"";"NDK2-105-3";"POINT(4.894579,52.375423)";"POINT(52.375423,4.894579)";4.894579;52.375423;
89;"Nieuwezijds Voorburgwal";"Voormalige waterbodem";"munt Philips de Stoute, zilver, Vlaanderen, 1363-1404";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZK5-374-60.jpg";"";"NZK5-374-60";"POINT(4.893835,52.376241)";"POINT(52.376241,4.893835)";4.893835;52.376241;
90;"Amstelbocht";"Aanplemping";"applique Vera Icon, pijpaarde, 1450-1500";"https://www.archeologischekaart.amsterdam/WatBod/obj/OTM-8-2.jpg";"";"OTM-8-2";"POINT(4.893739,52.368146)";"POINT(52.368146,4.893739)";4.893739;52.368146;
91;"IJ";"Voormalige waterbodem";"dommekracht, hout en smeedijzer, 1700-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/OOST1-54-1.jpg";"";"OOST1-54-1";"POINT(4.927926,52.371672)";"POINT(52.371672,4.927926)";4.927926;52.371672;
92;"Zakslootje";"Voormalige waterbodem";"bord, faience, Portugal, 1600-1625";"https://www.archeologischekaart.amsterdam/WatBod/obj/ZA-1.jpg";"";"ZA-1";"POINT(4.902032,52.372504)";"POINT(52.372504,4.902032)";4.902032;52.372504;

