OBJECTNUMMER;Soort;Plantjaar;Stamdiameter;Hoogte;Beplantingssituatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
27765;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9453251,52.359017)";"POINT(52.359017,4.9453251)";4.9453251;52.359017;
27766;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9453399,52.3589789)";"POINT(52.3589789,4.9453399)";4.9453399;52.3589789;
27767;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.945389,52.3589293)";"POINT(52.3589293,4.945389)";4.945389;52.3589293;
27768;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9454148,52.3591391)";"POINT(52.3591391,4.9454148)";4.9454148;52.3591391;
27769;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9454138,52.3592154)";"POINT(52.3592154,4.9454138)";4.9454138;52.3592154;
27770;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9455821,52.3588454)";"POINT(52.3588454,4.9455821)";4.9455821;52.3588454;
27771;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9458768,52.358853)";"POINT(52.358853,4.9458768)";4.9458768;52.358853;
27772;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9464538,52.3606726)";"POINT(52.3606726,4.9464538)";4.9464538;52.3606726;
27773;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9464538,52.3609206)";"POINT(52.3609206,4.9464538)";4.9464538;52.3609206;
27774;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9464862,52.3607871)";"POINT(52.3607871,4.9464862)";4.9464862;52.3607871;
27775;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465148,52.3607298)";"POINT(52.3607298,4.9465148)";4.9465148;52.3607298;
27776;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.946521,52.3608519)";"POINT(52.3608519,4.946521)";4.946521;52.3608519;
27777;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465282,52.3610579)";"POINT(52.3610579,4.9465282)";4.9465282;52.3610579;
27778;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465339,52.3611456)";"POINT(52.3611456,4.9465339)";4.9465339;52.3611456;
27779;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465492,52.3605849)";"POINT(52.3605849,4.9465492)";4.9465492;52.3605849;
27780;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465539,52.3612181)";"POINT(52.3612181,4.9465539)";4.9465539;52.3612181;
27781;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465558,52.3613593)";"POINT(52.3613593,4.9465558)";4.9465558;52.3613593;
27782;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9465649,52.3612868)";"POINT(52.3612868,4.9465649)";4.9465649;52.3612868;
27783;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.946583,52.3609816)";"POINT(52.3609816,4.946583)";4.946583;52.3609816;
27784;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9466522,52.3612258)";"POINT(52.3612258,4.9466522)";4.9466522;52.3612258;
27785;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9467108,52.3620078)";"POINT(52.3620078,4.9467108)";4.9467108;52.3620078;
27786;"ULCARPIN";1980;"Onbekend";"12-15 m";"";"POINT(4.9468272,52.3620688)";"POINT(52.3620688,4.9468272)";4.9468272;52.3620688;
27787;"ULCARPIN";2000;"Onbekend";"6-9 m";"";"POINT(4.948077,52.3623625)";"POINT(52.3623625,4.948077)";4.948077;52.3623625;
27788;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.949538,52.3644339)";"POINT(52.3644339,4.949538)";4.949538;52.3644339;
27789;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9495499,52.3638846)";"POINT(52.3638846,4.9495499)";4.9495499;52.3638846;
27790;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.950021,52.3642775)";"POINT(52.3642775,4.950021)";4.950021;52.3642775;
27791;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.950803,52.3645865)";"POINT(52.3645865,4.950803)";4.950803;52.3645865;
27792;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.950988,52.3647048)";"POINT(52.3647048,4.950988)";4.950988;52.3647048;
27793;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.951174,52.3648154)";"POINT(52.3648154,4.951174)";4.951174;52.3648154;
27794;"ULCARPIN";1990;"Onbekend";"6-9 m";"";"POINT(4.9512398,52.3650023)";"POINT(52.3650023,4.9512398)";4.9512398;52.3650023;
