OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
96;"CMSA-GVCV-06-Azartplein";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9372861,52.3780948)";"POINT(52.3780948,4.9372861)";4.9372861;52.3780948;
97;"CMSA-GVCV-07-PontsteigerN";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.8858661,52.392136)";"POINT(52.392136,4.8858661)";4.8858661;52.392136;
98;"CMSA-GVCV-08-PontsteigerZ";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.8860106,52.3920223)";"POINT(52.3920223,4.8860106)";4.8860106;52.3920223;
99;"CMSA-GAVM-06";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8653173,52.3591109)";"POINT(52.3591109,4.8653173)";4.8653173;52.3591109;
100;"CMSA-MT Bridge Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9143558,52.3756482)";"POINT(52.3756482,4.9143558)";4.9143558;52.3756482;
101;"CMSA-MT Boardwalk Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9153668,52.3725322)";"POINT(52.3725322,4.9153668)";4.9153668;52.3725322;
102;"CMSA-Fitnesstuin Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9140332,52.3747266)";"POINT(52.3747266,4.9140332)";4.9140332;52.3747266;
103;"CMSA-Picnic Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9167784,52.3728365)";"POINT(52.3728365,4.9167784)";4.9167784;52.3728365;
104;"CMSA-MT Waterfront Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9167973,52.3730919)";"POINT(52.3730919,4.9167973)";4.9167973;52.3730919;
105;"CMSA-MT Entry Camera";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9177461,52.3725681)";"POINT(52.3725681,4.9177461)";4.9177461;52.3725681;
106;"CMSA-GAABM-02";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9390338,52.3149621)";"POINT(52.3149621,4.9390338)";4.9390338;52.3149621;
107;"CMSA-GAABM-03";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9413952,52.3127668)";"POINT(52.3127668,4.9413952)";4.9413952;52.3127668;
108;"CMSA-GAABM-04";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9432613,52.3126885)";"POINT(52.3126885,4.9432613)";4.9432613;52.3126885;
109;"CMSA-GAABM-05";"Telcamera";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowdmanagement/";"POINT(4.9459497,52.3123999)";"POINT(52.3123999,4.9459497)";4.9459497;52.3123999;

