OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
257;"VONDST";"Vondsten";"kom, aardewerk, Friesland, 1600-1650";"Nieuwe Leliestraat 33";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/NL10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8825481,52.3755271)";"POINT(52.3755271,4.8825481)";4.8825481;52.3755271;
258;"VONDST";"Vondsten";"komfoor, aardewerk, 1690-1725";"Nieuwe Amstelstraat 31";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/NA.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9027741,52.36678)";"POINT(52.36678,4.9027741)";4.9027741;52.36678;
259;"VONDST";"Vondsten";"bord, majolica, Holland, 1625-1640";"Waterlooplein/Lange Houtstraat 22";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/LH.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9003928,52.3680235)";"POINT(52.3680235,4.9003928)";4.9003928;52.3680235;
260;"VONDST";"Vondsten";"zalfpot, majolica, Holland, 1600-1625";"Leliegracht 24";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/LEG1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.886986,52.3752829)";"POINT(52.3752829,4.886986)";4.886986;52.3752829;
261;"VONDST";"Vondsten";"vaas, porselein, China, 1750-1800";"Leliegracht 28";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/LEG2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8868372,52.3753325)";"POINT(52.3753325,4.8868372)";4.8868372;52.3753325;
262;"VONDST";"Vondsten";"pop, vurenhout, 1725-1775";"Leliegracht 50";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/LEG.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8853228,52.3758513)";"POINT(52.3758513,4.8853228)";4.8853228;52.3758513;
263;"VONDST";"Vondsten";"bord, creamware, Engeland, 1750-1800";"Eerste Leliedwarsstraat 11";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/LE1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8827288,52.3758704)";"POINT(52.3758704,4.8827288)";4.8827288;52.3758704;
264;"VONDST";"Vondsten";"rookpijp, pijpaarde, 1600-1615";"Spuistraat 3A/Nieuwezijds Voorburgwal 16";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/SP7.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894706,52.3772246)";"POINT(52.3772246,4.894706)";4.894706;52.3772246;
265;"VONDST";"Vondsten";"borstel, been, 1650-1750";"Keizersgracht 226";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/KG21.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8840811,52.3728377)";"POINT(52.3728377,4.8840811)";4.8840811;52.3728377;
266;"VONDST";"Vondsten";"bekerglas, glas, 1700-1750";"Keizersgracht 60";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/KG6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8879158,52.378327)";"POINT(52.378327,4.8879158)";4.8879158;52.378327;
267;"VONDST";"Vondsten";"beeld, aardewerk, Saintonge Frankrijk, 1590-1615";"Haarlemmerdijk 69";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/HAD10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8871071,52.3824927)";"POINT(52.3824927,4.8871071)";4.8871071;52.3824927;
268;"VONDST";"Vondsten";"kandelaar, aardewerk, 1650-1675";"Brouwersgracht 115";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/BR3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8870599,52.3809325)";"POINT(52.3809325,4.8870599)";4.8870599;52.3809325;
269;"VONDST";"Vondsten";"duimstok, hout, 1750-1800";"Amstel 270";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/AM2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9014938,52.3631446)";"POINT(52.3631446,4.9014938)";4.9014938;52.3631446;
270;"BEERPUT";"Beerput";"beerput";"Eerste Leliedwarsstraat 5";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_LE3.jpg";"";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8826778,52.3760039)";"POINT(52.3760039,4.8826778)";4.8826778;52.3760039;
271;"BEERPUT_VONDST";"Beerputten";"miniatuur vaas, tin, 1750-1800";"Schippersstraat 6-10";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_SCP.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/SCP.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9055798,52.37349)";"POINT(52.37349,4.9055798)";4.9055798;52.37349;
272;"VONDST";"Vondsten";"kelderfles, waldglas, 1700-1800";"Oudezijds Armsteeg 9-33";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ARM1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8994849,52.3756987)";"POINT(52.3756987,4.8994849)";4.8994849;52.3756987;
273;"BEERPUT_VONDST";"Beerput en vondsten";"knoop, zilver, 1700-1800";"Heiligeweg 32";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_HEI1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/HEI1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8905718,52.367665)";"POINT(52.367665,4.8905718)";4.8905718;52.367665;
274;"VONDST";"Vondsten";"passement, kant, 1600-1625";"Oudezijds Achterburgwal 119";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/OZA2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8980172,52.3722312)";"POINT(52.3722312,4.8980172)";4.8980172;52.3722312;
275;"VONDST";"Vondsten";"kom, porselein, China, 1700-1750";"Prinsengracht 322";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/PR9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8821371,52.3692099)";"POINT(52.3692099,4.8821371)";4.8821371;52.3692099;
276;"BEERPUT_VONDST";"Beerput en vondsten";"huisraad, 1700-1775";"Oudezijds Voorbrugwal 40";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_OZV9.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/OZV9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8991148,52.3750922)";"POINT(52.3750922,4.8991148)";4.8991148;52.3750922;
277;"VONDST";"Vondsten";"wijnfles, glas, 1750-1800";"Oostenburgervoorstraat";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/OBV.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9222548,52.3694922)";"POINT(52.3694922,4.9222548)";4.9222548;52.3694922;
278;"BEERPUT_VONDST";"Beerput en vondsten";"drinkbakje, aardewerk, 1700-1800";"Warmoesstraat 10";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_WA24.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/WA24.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8991988,52.3761908)";"POINT(52.3761908,4.8991988)";4.8991988;52.3761908;
279;"BEERPUT_VONDST";"Beerputten en vondsten";"huisraad, aardewerk en majolica, 1600-1625";"Waag";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_WAAG3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/WAAG3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900461,52.3726737)";"POINT(52.3726737,4.900461)";4.900461;52.3726737;
