OBJECTNUMMER;Stemlocatie;Opgeroepenen;Blanco;Ongeldig;Geldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__VVD;_2__PvdA;_3__PVV;_4__SP;_5__CDA;_6__D66;_7__ChristenUnie;_8__GroenLinks;_9__SGP;_10__Partij_voor_de_Dieren;_11__50PLUS;_12__OndernemersPartij;_13__VoorNederland;_14__DENK;_15__NIEUWE_WEGEN;_16__Forum_voor_Democratie;_17__De_Burger_Beweging;_18__Vrijzinnige_Partij;_19__GeenPeil;_20__Piratenpartij;_21__Artikel_1;_22__Niet_Stemmers;_23__Libertarische_Partij;_24__Lokaal_in_de_Kamer;_Overig_totaal;__1__VVD;__2__PvdA;__3__PVV;__4__SP;__5__CDA;__6__D66;__7__ChristenUnie;__8__GroenLinks;__9__SGP;__10__Partij_voor_de_Dieren;__11__50PLUS;__12__OndernemersPartij;__13__VoorNederland;__14__DENK;__15__NIEUWE_WEGEN;__16__Forum_voor_Democratie;__17__De_Burger_Beweging;__18__Vrijzinnige_Partij;__19__GeenPeil;__20__Piratenpartij;__21__Artikel_1;__22__Niet_Stemmers;__23__Libertarische_Partij;__24__Lokaal_in_de_Kamer;__Overig_totaal;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
537;"Narcis-Queridoschool";4831;5;19;2504;52.3;"D66";0;19.8;"GroenLinks";0;19.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.9;7.3;6.2;7;1.9;19.8;0.8;19.6;0.1;7;1.6;0;0.2;12.9;0.1;1.4;0;0.1;0.2;0.6;2.1;0;0;0;1.4;"POINT(4.860645,52.3793646)";"POINT(52.3793646,4.860645)";4.860645;52.3793646;
538;"NH Amsterdam Zuid";1119;1;0;1006;90.0;"VVD";0;36.7;"D66";0;19.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.7;8.1;8.5;2.7;4.4;19.8;2.4;9;0.2;2.5;1.8;0;0.3;0.1;0.1;1.9;0;0;0.2;0.7;0.7;0;0;0;1.5;"POINT(4.8800452,52.326657)";"POINT(52.326657,4.8800452)";4.8800452;52.326657;
539;"NH Carlton Amsterdam";946;0;1;682;72.2;"D66";0;30.9;"VVD";0;24.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.5;6.6;2.2;2.5;1.5;30.9;0.7;18.8;0;6.5;0.6;0;0.3;0.6;0;1.9;0.1;0;0;1.6;0.6;0;0;0.1;2.2;"POINT(4.8930552,52.3664099)";"POINT(52.3664099,4.8930552)";4.8930552;52.3664099;
540;"NH Grand Hotel Krasnapolsky";903;0;11;1340;149.6;"D66";0;27.4;"GroenLinks";0;24.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.9;5.2;2.4;3.4;1.6;27.4;0.7;24.8;0.1;8.5;0.5;0.1;0.1;1;0.1;1.8;0.1;0.1;0.1;0.7;1.3;0.1;0;0.1;1.5;"POINT(4.8942478,52.3727042)";"POINT(52.3727042,4.8942478)";4.8942478;52.3727042;
541;"NH Museum Quarter";1485;2;2;936;63.3;"VVD";0;29.7;"D66";0;24.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.7;8.3;2.8;4.1;3.1;24.3;1.1;17.9;0.1;4.8;0.9;0.1;0;0.4;0;1.2;0;0.1;0;0.6;0.3;0.1;0;0.1;1.2;"POINT(4.8861272,52.3558127)";"POINT(52.3558127,4.8861272)";4.8861272;52.3558127;
542;"Nieuw Vredenburgh";2102;0;11;1633;78.2;"D66";0;22.9;"GroenLinks";0;21.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3;6.6;5.8;5.6;3;22.9;1.3;21.2;0.2;7.8;2.2;0.1;0.3;5;0.1;1.3;0;0;0.1;0.9;1.2;0.1;0;0.1;1.7;"POINT(4.8512571,52.3638198)";"POINT(52.3638198,4.8512571)";4.8512571;52.3638198;
543;"Noorderkerk";1995;4;1;1715;86.2;"GroenLinks";0;22.4;"D66";0;20.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.7;10.1;5.5;6.4;2;20.9;1.2;22.4;0.1;10.1;1.2;0.1;0.1;0.7;0;1.9;0.1;0;0.1;0.9;0.5;0.1;0;0;1.5;"POINT(4.8863151,52.3795325)";"POINT(52.3795325,4.8863151)";4.8863151;52.3795325;
544;"Noordmansschool";2279;5;18;1236;55.2;"DENK";0;23.4;"GroenLinks";0;15.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.7;7.5;8.2;8.3;2.6;13;2.3;15.5;0;3.5;2.8;0.1;0.2;23.4;0;0.4;0;0.1;0.1;0.3;1.5;0.3;0;0.2;1.3;"POINT(4.8244431,52.3758933)";"POINT(52.3758933,4.8244431)";4.8244431;52.3758933;
545;"Nowhere";2242;4;5;957;43.1;"GroenLinks";0;26.4;"D66";0;21.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;7.7;4.8;5.9;1.1;21.1;1;26.4;0.2;5.6;1.4;0.3;0.4;11.8;0.1;1;0.1;0;0;0.7;3.2;0.4;0.1;0;2.4;"POINT(4.9364188,52.3642737)";"POINT(52.3642737,4.9364188)";4.9364188;52.3642737;
546;"O.B.S. Slootermeerschool";2741;10;39;1632;61.3;"DENK";0;30.6;"GroenLinks";0;10.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.1;8.1;8.9;6.8;2.7;10.4;2.5;10.5;0.1;3.7;3.7;0.2;0.2;30.6;0.1;0.8;0.1;0.1;0.1;0.1;1.7;0.2;0.1;0.2;1.5;"POINT(4.832164,52.3820235)";"POINT(52.3820235,4.832164)";4.832164;52.3820235;
