OBJECTNUMMER;SELECTIE;KLASSE;SOORT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
8291;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.862949 52.374212,4.862839 52.374211,4.862801 52.374335,4.862779 52.374434,4.862777 52.374448,4.862795 52.374474,4.862752 52.374562,4.862852 52.374483,4.862861 52.374458,4.862892 52.374434,4.862949 52.374212))";"POLYGON((52.374212 4.862949,52.374211 4.862839,52.374335 4.862801,52.374434 4.862779,52.374448 4.862777,52.374474 4.862795,52.374562 4.862752,52.374483 4.862852,52.374458 4.862861,52.374434 4.862892,52.374212 4.862949))";4.8628555;52.3743795;
8292;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.844584 52.386585,4.844517 52.386535,4.844469 52.38652,4.844451 52.386528,4.84444 52.386526,4.84443 52.38661,4.844444 52.386609,4.84446 52.386612,4.844511 52.386606,4.844584 52.386585))";"POLYGON((52.386585 4.844584,52.386535 4.844517,52.38652 4.844469,52.386528 4.844451,52.386526 4.84444,52.38661 4.84443,52.386609 4.844444,52.386612 4.84446,52.386606 4.844511,52.386585 4.844584))";4.844512;52.386559;
8293;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842506 52.357964,4.842504 52.357956,4.842486 52.357933,4.842493 52.357909,4.842467 52.357869,4.842462 52.357837,4.842445 52.357865,4.842445 52.357873,4.842452 52.357933,4.842449 52.357945,4.842465 52.357959,4.842454 52.357989,4.842465 52.358018,4.842444 52.35809,4.842447 52.358102,4.842463 52.358112,4.842465 52.358094,4.8425 52.358049,4.842498 52.358017,4.842506 52.357964))";"POLYGON((52.357964 4.842506,52.357956 4.842504,52.357933 4.842486,52.357909 4.842493,52.357869 4.842467,52.357837 4.842462,52.357865 4.842445,52.357873 4.842445,52.357933 4.842452,52.357945 4.842449,52.357959 4.842465,52.357989 4.842454,52.358018 4.842465,52.35809 4.842444,52.358102 4.842447,52.358112 4.842463,52.358094 4.842465,52.358049 4.8425,52.358017 4.842498,52.357964 4.842506))";4.84248;52.3579675;
8294;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.778428 52.397528,4.77833 52.397537,4.778313 52.397551,4.778193 52.397564,4.778331 52.397621,4.778388 52.39756,4.778428 52.397528))";"POLYGON((52.397528 4.778428,52.397537 4.77833,52.397551 4.778313,52.397564 4.778193,52.397621 4.778331,52.39756 4.778388,52.397528 4.778428))";4.7783155;52.3975675;
8295;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842342 52.364228,4.842257 52.364232,4.842253 52.364355,4.842313 52.364352,4.842327 52.364289,4.842339 52.364257,4.842333 52.364253,4.842342 52.364228))";"POLYGON((52.364228 4.842342,52.364232 4.842257,52.364355 4.842253,52.364352 4.842313,52.364289 4.842327,52.364257 4.842339,52.364253 4.842333,52.364228 4.842342))";4.8423025;52.3642845;
8296;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.880002 52.424788,4.880003 52.424706,4.879964 52.424708,4.879844 52.424694,4.879838 52.424703,4.879952 52.424774,4.879945 52.424819,4.879962 52.424812,4.879977 52.424793,4.880002 52.424788))";"POLYGON((52.424788 4.880002,52.424706 4.880003,52.424708 4.879964,52.424694 4.879844,52.424703 4.879838,52.424774 4.879952,52.424819 4.879945,52.424812 4.879962,52.424793 4.879977,52.424788 4.880002))";4.8799255;52.4247495;
8297;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.962289 52.325622,4.962183 52.325585,4.962126 52.32565,4.962229 52.325686,4.962289 52.325622),(4.962203 52.325657,4.962151 52.325638,4.96218 52.325606,4.962233 52.325624,4.962203 52.325657))";"POLYGON((52.325622 4.962289,52.325585 4.962183,52.32565 4.962126,52.325686 4.962229,52.325622 4.962289),(52.325657 4.962203,52.325638 4.962151,52.325606 4.96218,52.325624 4.962233,52.325657 4.962203))";4.9622125;52.3256285;
8298;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.916976 52.376927,4.916958 52.376857,4.916855 52.376871,4.916836 52.376945,4.916976 52.376927))";"POLYGON((52.376927 4.916976,52.376857 4.916958,52.376871 4.916855,52.376945 4.916836,52.376927 4.916976))";4.916911;52.376894;
8299;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.969451 52.366568,4.969436 52.366565,4.969359 52.36652,4.969354 52.366575,4.969297 52.366669,4.969306 52.366669,4.96944 52.366587,4.969451 52.366568))";"POLYGON((52.366568 4.969451,52.366565 4.969436,52.36652 4.969359,52.366575 4.969354,52.366669 4.969297,52.366669 4.969306,52.366587 4.96944,52.366568 4.969451))";4.969379;52.3665875;
8300;65;"65-70 dB";"WEGTRAM_NIGHT";"POLYGON((4.868827 52.329054,4.868816 52.329015,4.86878 52.329027,4.868743 52.329048,4.868776 52.329138,4.868814 52.329175,4.868827 52.329054))";"POLYGON((52.329054 4.868827,52.329015 4.868816,52.329027 4.86878,52.329048 4.868743,52.329138 4.868776,52.329175 4.868814,52.329054 4.868827))";4.86879;52.329088;
