OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
26246;"Gewone esdoorn (cultuurvariëteit)";580135;"Acer pseudoplatanus `Negenia`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1966;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";4;"POINT(4.889338,52.3245)";"POINT(52.3245,4.889338)";4.889338;52.3245;
26247;"Meelbes (cultuurvariëteit)";580134;"Sorbus aria `Magnifica`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1978;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";2;"POINT(4.874591,52.326026)";"POINT(52.326026,4.874591)";4.874591;52.326026;
26248;"Meelbes (cultuurvariëteit)";580133;"Sorbus aria `Magnifica`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1978;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";2;"POINT(4.874594,52.325973)";"POINT(52.325973,4.874594)";4.874594;52.325973;
26249;"Valse Christusdoorn (cultuurvariëteit)";580132;"Gleditsia triacanthos";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Gleditsia";"K";5;"POINT(4.905605,52.347759)";"POINT(52.347759,4.905605)";4.905605;52.347759;
26250;"Valse Christusdoorn (cultuurvariëteit)";580131;"Gleditsia triacanthos";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Gleditsia";"K";5;"POINT(4.905561,52.347872)";"POINT(52.347872,4.905561)";4.905561;52.347872;
26251;"Schietwilg";579887;"Salix alba";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Salix";"Salix";"K";3;"POINT(4.885423,52.343816)";"POINT(52.343816,4.885423)";4.885423;52.343816;
26252;"Schietwilg";579886;"Salix alba";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Salix";"Salix";"K";7;"POINT(4.88512,52.34383)";"POINT(52.34383,4.88512)";4.88512;52.34383;
26253;"Gewone es";579885;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";7;"POINT(4.884951,52.344003)";"POINT(52.344003,4.884951)";4.884951;52.344003;
26254;"Hollandse linde";579884;"Tilia europaea";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1961;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.885095,52.327321)";"POINT(52.327321,4.885095)";4.885095;52.327321;
26255;"Hollandse linde (cultuurvariëteit)";579882;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1964;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.878304,52.326027)";"POINT(52.326027,4.878304)";4.878304;52.326027;
