OBJECTNUMMER;Techniek;Titel_kunstwerk;Kunstenaar;Jaartal;Waardering;Adres_gebouw;Status_gebouw;Bouwjaar;Afbeelding;Kunsthistorische_waarde;Cultuurhistorische_waarde;Architectuurhistorische_waarde;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
128;"Reliëf";"";"Nico Onkenhout (1918-1989)";1954;"Waardevol";"Du Perronstraat 43";"Geen monument";0;"0ee4b711-8754-416f-92ec-50ef28516e0d.jpg";"Het grote reliëf aan de gevel van het appartementencomplex aan de Du Perronstraat heeft een kunsthistorische waarde als een kunstwerk van de bekende beeldhouwer Nico Onkenhout. De Amsterdamse kunstenaar is onder meer bekend van de beelden van Dik Trom in Hoofddorp, van Toon Hermans en van professor Jan Bronner. Hiermee eerde hij zijn professor, bij wie hij zijn beeldhouwopleiding aan de Rijksacademie volgde.Het roodglanzende keramische reliëf op de gevel van het woonblok op de Du Perronstraat is 2,50 meter hoog en stelt het gezin voor. Onkenhout heeft een jaar gewerkt aan deze opdracht van de Woningbouwvereniging Het Oosten. De afdrukken van het paletmes, die duidelijk aanwezig zijn, vangen het licht op, waardoor het een levendig oppervlak heeft. Vermoedelijk is dit reliëf in zijn oeuvre één van zijn belangrijke kunstwerken.";"Onkenhout heeft in Amsterdam meerdere reliëfs en beelden gemaakt, zoals het beeld van Koningin Wilhelmina bij het Confectiecentrum. De Zeeland-bank met reliëfs op de Weteringschans is een van zijn bekendere projecten. Het is een geschenk van de provincie Zeeland aan de stad als dank voor de hulp bij de Watersnoodramp in 1953. Een ander en kleiner reliëf van hem, dat een moeder met kind voorstelt, bevindt zich op een gevel in de Justus van Maurikstraat 13.";"Het reliëf bevindt zich op de kopse kant van de gevel van het appartementencomplex en is beeldbepalend.";"POINT(4.813457,52.378919)";"POINT(52.378919,4.813457)";4.813457;52.378919;
129;"Reliëf";"";"Leo Braat (1908-1982)";1955;"Top";"Hermanus van der Tuukhof 7";"Geen monument";0;"";"De drie keramische reliëfs op de gevels van de woningblokjes haaks op de Jacob Geelstraat hebben een kunsthistorische waarde als één van de eerste figuratieve gepolychromeerde expressionistische reliëfs van na de Tweede Wereldoorlog. Ze zijn gemaakt door de bekende beeldhouwer Leo Braat, die deze stilistische vernieuwing in 1950 als één van de eerste kunstenaars in gang zette. In zijn werk zijn de invloeden van sculpturen uit Zuid-Amerikaanse landen als Peru te ontdekken. Keramische reliëfs zijn bij uitstek geschikt voor buitengevels, omdat ze weer en wind kunnen verdragen.Braat had twee talenten: naast beeldhouwen schreef hij veel over kunst in tijdschriften zoals Vrij Nederland. In 1935 richtte hij de invloedrijke Kroniek voor Kunst en Kultuur op, waar hij tientallen jaren als hoofdredacteur kritisch over kunst schreef. Hij was goed op de hoogte van buitenlandse kunst en kende veel buitenlandse kunstenaars persoonlijk, zoals Henri Moore, die hij ook bewonderde. Tijdens de Tweede Wereldoorlog heeft hij met kunstenaars als Gerrit van der Veen en Willem Arondeus een rol gespeeld in het verzet. Hij kwam uit Arnhem, waar hij na het gymnasium op de kunstnijverheidsschool les kreeg van Jacobs van `t Hof. Net als veel tijdgenoten vertrok hij naar het kunstcentrum Parijs, waar hij op academies en ateliers lessen volgde.";"De Zeemeermin in het Beatrixpark is ook gemaakt door Leo Braat, net als het reliëf van Samuel Coster aan de gevel van de Stadsschouwburg en de polychrome beeldjes op het Vondelterras. In het Eendrachtspark staat zijn beeld Vogelgod.";"De drie helder gekleurde keramische reliëfs bevinden zich op de kopse kanten van eengezinswoningen en zijn beeldbepalend. Ze geven de verschillende huizenblokken elk een eigen identiteit en hebben waarde als onderdeel van een beeldend oriëntatie- en wegbewijzeringssysteem, zoals de tegeltjes bij de kinderkapstokken op kleuterscholen.";"POINT(4.831604,52.36058)";"POINT(52.36058,4.831604)";4.831604;52.36058;
130;"Reliëf";"";"Lex Horn (1916-1968)";1955;"Top";"Antony Moddermanstraat 222";"Geen monument";0;"";"De drie entrees van de portiekflats aan de Anthony Moddermanstraat zijn verbijzonderd met kleurige Abstract-Expressionistisch tegeltableaus. Ze hebben een kunsthistorische waarde als kunstwerken van één van de belangrijkste monumentale kunstenaars, Lex Horn. Veel van dit type tegeltableaus zijn al gesneuveld - zoals van Klingers en ook van Horn- er ontstaat langzaamaan een zeldzaamheidswaarde. In de verschillende ontwerpen voor de Anthony Moddermanstraat met de geabstraheerde figuratie zijn vogels, een trap en dierfiguren te herkennen.Horn is opgeleid op de Rijksacademie van Beeldende Kunsten bij professor Campendonk en lid van de Vereniging van beoefenaars van Monumentale Kunsten. Hij beoefende niet alleen wandschilderen maar maakte ook sgraffito`s, tapijtontwerpen, glasappliqués, glas-in-betonramen, gezandstraalde ramen en intarsia`s. Een van zijn glasappliqués (1956) vormt nog steeds de blikvanger op het station Eindhoven.";"Horn ontwierp een wandschildering in de Amsterdamse Stadsschouwburg en gezandstraalde glasramen in de voormalige Passengers Terminal van de KNSM (1959) en ontwierp het betonreliëf met de wandschildering in het schoolgwebouw op de Krelis Louwenstraat 1 in Amsterdam. De sgraffito in het Tetterodegebouw zit achter een voorzetwand in een privé-appartement.In het boek van de RCE over Monumentale Kunst: Experiment In Opdracht. Kunst van de wederopbouw Nederland 1940-1965 is een pagina besteed aan de monumentale kunstwerken van Lex Horn.";"De drie tegeltableaus hebben een beeldbepalende werking bij de entrees van de portiekflats van architect Jaap Schipper. De kunstwerken markeren de entrees van de trappenhuizen die de scharnierverbinding vormen tussen twee aan elkaar geschakelde appartementencomplexen. Ze geven de drie vrijwel identieke flatgebouwen een `identiteit` en functioneren als herkenningspunten, en hebben een wegwijzer/signaal functie waardoor jong en oud zich kan oriënteren.";"POINT(4.812528,52.383732)";"POINT(52.383732,4.812528)";4.812528;52.383732;
131;"Reliëf";"";"Lex Horn (1916-1968)";1955;"Top";"Antony Moddermanstraat 214";"Geen monument";0;"";"De drie entrees van de portiekflats aan de Anthony Moddermanstraat zijn verbijzonderd met kleurige Abstract-Expressionistisch tegeltableaus. Ze hebben een kunsthistorische waarde als kunstwerken van één van de belangrijkste monumentale kunstenaars, Lex Horn. Veel van dit type tegeltableaus zijn al gesneuveld - zoals van Klingers en ook van Horn- er ontstaat langzaamaan een zeldzaamheidswaarde. In de verschillende ontwerpen voor de Anthony Moddermanstraat met de geabstraheerde figuratie zijn vogels, een trap en dierfiguren te herkennen.Horn is opgeleid op de Rijksacademie van Beeldende Kunsten bij professor Campendonk en lid van de Vereniging van beoefenaars van Monumentale Kunsten. Hij beoefende niet alleen wandschilderen maar maakte ook sgraffito`s, tapijtontwerpen, glasappliqués, glas-in-betonramen, gezandstraalde ramen en intarsia`s. Een van zijn glasappliqués (1956) vormt nog steeds de blikvanger op het station Eindhoven.";"Horn ontwierp een wandschildering in de Amsterdamse Stadsschouwburg en gezandstraalde glasramen in de voormalige Passengers Terminal van de KNSM (1959) en ontwierp het betonreliëf met de wandschildering in het schoolgwebouw op de Krelis Louwenstraat 1 in Amsterdam. De sgraffito in het Tetterodegebouw zit achter een voorzetwand in een privé-appartement.In het boek van de RCE over Monumentale Kunst: Experiment In Opdracht. Kunst van de wederopbouw Nederland 1940-1965 is een pagina besteed aan de monumentale kunstwerken van Lex Horn.";"De drie tegeltableaus hebben een beeldbepalende werking bij de entrees van de portiekflats van architect Jaap Schipper. De kunstwerken markeren de entrees van de trappenhuizen die de scharnierverbinding vormen tussen twee aan elkaar geschakelde appartementencomplexen. Ze geven de drie vrijwel identieke flatgebouwen een `identiteit` en functioneren als herkenningspunten, en hebben een wegwijzer/signaal functie waardoor jong en oud zich kan oriënteren.";"POINT(4.813982,52.383757)";"POINT(52.383757,4.813982)";4.813982;52.383757;
132;"Reliëf";"";"Lex Horn (1916-1968)";1955;"Top";"Antony Moddermanstraat 206";"Geen monument";0;"97bb3a08-4db4-4021-9863-270fcb3acb2f.jpg";"De drie entrees van de portiekflats aan de Anthony Moddermanstraat zijn verbijzonderd met kleurige Abstract-Expressionistisch tegeltableaus. Ze hebben een kunsthistorische waarde als kunstwerken van één van de belangrijkste monumentale kunstenaars, Lex Horn. Veel van dit type tegeltableaus zijn al gesneuveld - zoals van Klingers en ook van Horn- er ontstaat langzaamaan een zeldzaamheidswaarde. In de verschillende ontwerpen voor de Anthony Moddermanstraat met de geabstraheerde figuratie zijn vogels, een trap en dierfiguren te herkennen.Horn is opgeleid op de Rijksacademie van Beeldende Kunsten bij professor Campendonk en lid van de Vereniging van beoefenaars van Monumentale Kunsten. Hij beoefende niet alleen wandschilderen maar maakte ook sgraffito`s, tapijtontwerpen, glasappliqués, glas-in-betonramen, gezandstraalde ramen en intarsia`s. Een van zijn glasappliqués (1956) vormt nog steeds de blikvanger op het station Eindhoven.";"Horn ontwierp een wandschildering in de Amsterdamse Stadsschouwburg en gezandstraalde glasramen in de voormalige Passengers Terminal van de KNSM (1959) en ontwierp het betonreliëf met de wandschildering in het schoolgwebouw op de Krelis Louwenstraat 1 in Amsterdam. De sgraffito in het Tetterodegebouw zit achter een voorzetwand in een privé-appartement.In het boek van de RCE over Monumentale Kunst: Experiment In Opdracht. Kunst van de wederopbouw Nederland 1940-1965 is een pagina besteed aan de monumentale kunstwerken van Lex Horn.";"De drie tegeltableaus hebben een beeldbepalende werking bij de entrees van de portiekflats van architect Jaap Schipper. De kunstwerken markeren de entrees van de trappenhuizen die de scharnierverbinding vormen tussen twee aan elkaar geschakelde appartementencomplexen. Ze geven de drie vrijwel identieke flatgebouwen een `identiteit` en functioneren als herkenningspunten, en hebben een wegwijzer/signaal functie waardoor jong en oud zich kan oriënteren.";"POINT(4.815435,52.383782)";"POINT(52.383782,4.815435)";4.815435;52.383782;
133;"Reliëf";"";"Arie Teeuwisse (1919-1993)";1955;"Top";"Jan van Schaffelaarplantsoen 3";"Geen monument";0;"";"Aan de oneven zijde van het Jan van Schaffelaarplantsoen zijn bij de deurportalen twintig kapiteelreliëfs aanwezig die in 1955 gemaakt zijn door Arie Teeuwisse en Jan Meefout. De tien reliëfs aan het Jan van Schaffelaarplantsoen 3-5, 11-13, 19-21, 23-25, 31-33 zijn het werk van Arie Teeuwisse. De kapiteelreliëfs hebben een kunsthistorische waarde als kunstwerken van deze bekende beeldhouwer. Ze hebben in zijn oeuvre waarde als een van zijn vroegste grote opdrachten. De serie stelt episodes uit het Nieuwe Testament voor, beginnende bij `De Stal` op het Jan van Schaffelaarplantsoen 3 met daarnaast `Het bezoek van de Drie koningen` en eindigend met `De Herrijzenis`, Jan van Schaffelaarplantsoen 33. Deze volgorde is van belang omdat het dan leest als een stripverhaal van het Nieuwe Testament. Het woonblok aan de Akbarstraat, dat aan de tuinzijde hier tegenover ligt, bevat twintig reliëfs met episodes uit het Oude Testament, gemaakt door beeldhouwer Willem Reijers. Het geheel, het Oude en Nieuwe Testament op de twee woonblokken heeft een ensemblewaarde.  Arie Teeuwisse heeft zijn kunstopleiding gevolgd aan het Instituut voor Kunstnijverheidsonderwijs (later de Rietveld Academie) en daarna aan de Rijksacademie bij professor Jan Bronner. Over deze Amsterdamse beeldhouwer zijn meerdere publicaties verschenen waaronder een die geschreven is door Jan Teeuwisse, directeur van Museum Beelden aan Zee en hoogleraar Moderne Beeldhouwkunst aan de Universiteit Leiden. Arie Teeuwisse is bekend door zijn in brons gegoten naturalistische beelden, vaak met een illustratieve symboliek.";"De twee woonblokken werden op 11-12-1950 ingewijd door Monseigneur Van der Burg, de deken van Amsterdam, ter gelegenheid van het 40-jarig bestaan van Woningbouwvereniging Het Oosten, zo staat te lezen op een plaquette. Mede door de reliëfs vormt het ensemble van de twee bouwblokken het paradepaardje van de buurt. Het geheel ¬¬heeft een herinneringswaarde aan deze van oorsprong Rooms-katholieke buurt.";"De woonblokken zijn in 1950 gebouwd door het architectenbureau Evers en Sarlemijn en vallen op door de bijzondere detailleringen van de portalen en zuilen met deze kapitelen.  De Leeuwendalersweg en de Bos en Lommerweg waar de winkels zich bevinden zijn extra fraai door de zuilen. De reliëfkapitelen hebben een beeldondersteunende functie in deze twee monumentwaardige woonblokken.";"POINT(4.842462,52.378975)";"POINT(52.378975,4.842462)";4.842462;52.378975;
134;"Reliëf";"";"Cephas Stauthamer (1899-1983)";1955;"Waardevol";"Jan van Galenstraat 6";"Geen monument";0;"0bae300c-7131-4a3f-8d9a-7b346474835a.jpg";"De gevel van de Marktkantine wordt gemarkeerd door een groot beeldbepalend reliëf van Cephas Stauthamer. Het heeft een kunsthistorische waarde als een figuratief reliëf op de gevel van de Marktkantine/Marcanti en als een kunstwerk van de bekende Amsterdamse beeldhouwer Cephas Stauthamer. Ook in zijn oeuvre heeft het  vermoedelijk- waarde als een belangrijk reliëf. Stauthamer heeft voor de Tweede Wereldoorlog bij professor Richard Roland Holst monumentale kunsten aan de Rijksacademie gestudeerd. Hij boetseerde veel en liet zijn werk afgieten in brons. De keramische objecten brandde hij zelf in zijn eigen keramische oven, dat hij deelde met zijn partner, de kunstenaar Josje Smit. Hij doceerde aan de Academie in Arnhem.";"Het reliëf is vancultuurhistorische waarde als herinnering aan Marcanti, dat sinds 1955 een theaterzaal voor Amsterdammers was en daarna als partycentrum voor vooral housefeesten diende.";"Het heeft een architectuurhistorische waarde als beeldbepalend op de gevel van de Marktkantine, dat in 1955 is gebouwd. In de feest- en theaterzaal was of is ook een groot abstract kunstwerk aangebracht en een grote wandschildering. Het was een uitbreiding van de Centrale Markthal in Jan van Galenstraat 4, die in 1934 is gebouwd door Nicolaas van Lansdorp.";"POINT(4.867067,52.376048)";"POINT(52.376048,4.867067)";4.867067;52.376048;
135;"Glas, anders";"";"Jan Groenestein (1919-1971)";1955;"Top";"De Ruijterkade 107";"Geen monument";0;"";"Voor het in 1955 door Marius Duintjer verbouwde kantoorgebouw van de Cargadoorsfirma Vinke & Co aan de De Ruijterkade 107 is door het Haarlemse glasatelier Bogtman een metershoog glas-in-loodraam gemaakt met als onderwerp de scheepvaartactiviteiten van deze trampvaartrederij. Waarschijnlijk is het werk gemaakt door Jan Groenestein (bron: `groslijst` Erfgoedvereniging Heemschut, i.o.v. M&A), maar in zijn oeuvrelijst staat het niet vermeld. Het origineel is in 2009 verplaatst naar het Scheepvaartmuseum op het Kattenburgerplein. Het glas-in-loodraam heeft een kunsthistorische waarde als een groot glas-in-loodraam in de realistische stijl. Het werk is mogelijk van waarde als een kunstwerk van Groenestein, die binnen de monumentale kunstwereld één van de belangrijkste kunstenaars was. In zijn oeuvre behoort het dan tot een van zijn grootste monumentale kunstwerken. Groenestein was lid van de realisten en van de Vereniging van beoefenaars van Beeldende Kunsten (VbMK), die een ballotage hield op vakbekwaamheid. Realistische kunst is vaak geliefd door de verstaanbaarheid en als erfgenaam van de Gemeenschapskunst hoort deze kunst niet in musea, maar in een omgeving waar het gezien kan worden door het grote publiek. Zijn specialisme was dieren uitbeelden. Naast de vele opdrachten was hij docent op de Katholieke Leergangen en de Academie voor Bouwkunst, beide in Tilburg.";"Het heeft een cultuurhistorische waarde als herinnering aan de Vinke & Co, die in 1860 als cargadoorsfirma begon en handel dreef met vier stoomvaartmaatschappijen, zoals de NV Stoomvaart Maatschappij Oostzee. In 1985 zijn de activiteiten gestopt. In Amsterdam heeft Groenestein nog zeker vijf kunstwerken gerealiseerd, waaronder een grote wandschildering in de Stadsschouwburg en de sgraffito`s op de muren van Artis. Het meerdelige natuursteenmozaïek in het schoolgebouw in de Jan van Eyckstraat van de voormalige Christelijke HBS-A (nu het Ignatius Gymnasium) is in het boek van de RCE  Kunst van de Wederopbouw in Nederland 1940-1965. Experiment In Opdracht beschreven en ook in het boek Wand des Tijds, geschreven door de adjunct directeur van Kunst en Bedrijf, Tom Haartsen.";"Het raam is ruim 14 meter lang (bron: www.helpwandkunstopsporen.nl). Het raam bevond zich vermoedelijk oorspronkelijk in het trappenhuis en was daar beeldbepalend. Het heeft waarde als één van de grootste glas-in-loodramen van Amsterdam.";"POINT(4.905365,52.377612)";"POINT(52.377612,4.905365)";4.905365;52.377612;
136;"Reliëf";"";"Nico Onkenhout (1918-1989)";1955;"Behoudenswaard";"Justus van Maurikstraat 13";"Geen monument";0;"0b13ebdf-fdff-4e62-a2d4-39ad9d3dc574.jpg";"Het reliëf aan de gevel van het appartementencomplex aan de Justus van Maurikstraat heeft een kunsthistorische waarde als een kunstwerk van de bekende beeldhouwer Nico Onkenhout. De Amsterdamse kunstenaar is ondermeer bekend van de beelden van Dik Trom in Hoofddorp , van Toon Hermans en van professor Jan Bronner. Hiermee eerde hij zijn professor, bij wie hij zijn beeldhouwopleiding aan de Rijksacademie volgde.Vermoedelijk is dit kleine reliëf in zijn oeuvre één van zijn minder belangrijke kunstwerken. Het reliëf, dat een zittende moeder met kind voorstelt, is wel typerend voor zijn stijl. De afdrukken van het paletmes die duidelijk aanwezig zijn, vangen het licht op, waardoor het werk een levendig oppervlak heeft.";"Onkenhout heeft in Amsterdam meerdere reliëfs en beelden gemaakt, zoals het beeld van koningin Wilhelminia bij het Confectiecentrum. De Zeelandbank met reliëfs op de Weteringschans is één van zijn bekendere werken. Het is een geschenk van de provincie Zeeland aan de stad, als dank voor de hulp bij de Watersnoodramp in 1953.Het grote beeldbepalende reliëf op een gevel in de Du Perronstraat, dat het gezin voorstelt, is ook door Onkenhout gemaakt.";"Het reliëf bevindt zich aan de kopse kant van de gevel van een eengezinswoning. Het is voor een monumentaal kunstwerk bescheiden van formaat en niet beeldbepalend, maar beeldondersteunend.";"POINT(4.815226,52.37837)";"POINT(52.37837,4.815226)";4.815226;52.37837;
137;"Reliëf";"";"Joop Sjollema (1900-1990)";1955;"Top";"Pieter Calandlaan 212";"Geen monument";0;"e4c1f616-51b9-46f2-b062-8e6476c4928f.jpg";"Het tegeltableau, dat zich in het filiaal van Albert Heijn op de Pieter Calandlaan 212A bevindt, is gemaakt door Joop Sjollema. Het stelt een jong gezin voor dat met hun baby en hun ouders aan het diner zit. De grootmoeder voert een hondje en de grootvader rookt een sigaret. Het heeft een kunsthistorische waarde als een realistisch tegeltableau. Het heeft waarde als een groot kunstwerk gemaakt door bekende monumentaal kunstenaar Joop Sjollema. In zijn oeuvre heeft het vermoedelijk ook waarde. Sjollema was lid van de Vereniging van Beoefenaars der Monumentale Kunsten en maakte muurschilderingen, glasramen, baksteen- en keramische versieringen, maar was ook illustrator en kunstcriticus in vakbladen als Kroniek voor Kunst en Kultuur. Hij is opgeleid als jurist, maar volgde zijn passie voor de kunst door in 1924 op de Rijksacademie voor Beeldende Kunsten de tekenstudie bij hoogleraar Hendrik Jan Wolter te volgen. Daarna stapte hij over naar professor Richard Roland Holst die in zijn monumentale kunstlessen de eenheid tussen kunst en architectuur benadrukte. Sjollema staat in Kunst van de Wederopbouw. 1940-1965, Experiment in Opdracht. Hij is geridderd in de Orde van Oranje Nassau.";"Het tegeltableau heeft een cultuurhistorische waarde. Indertijd had het een beeldbepalende positie op de buitengevel van de supermarkt van Piet de Gruyter op de Osdorperban. Het heeft een herinneringswaarde aan deze supermarktketen die talloze winkels in Amsterdam heeft gehad. Sjollema heeft tussen 1935 en 1945 de muurschildering De Muzen in een trappenhuis in de Stadsschouwburg gemaakt. Het bijzondere glaspaneel verre muraille- in café Schiller is van zijn hand. In hal op de verdieping van de voormalige Handelsschool op de P.L. Takstraat/ Jozef Israëlskade heeft Sjollema een fries beschilderd en in het voormalige gebouw van de GGD op de Karel Doormanstraat is een muurschildering van hem aanwezig. Voor de markthallen in de Jan van Galenstraat maakte hij gezandstraalde ramen. Het zorgde in 1973 voor ophef in de pers toen de PTT zijn muurschildering in de Pieter de Hooghstraat witkalkte.";"Het keramisch reliëf heeft tegenwoordig ook een beeldbepalend positie in het interieur.";"POINT(4.799563,52.352319)";"POINT(52.352319,4.799563)";4.799563;52.352319;
138;"Reliëf";"";"Henk Tieman (1921-2001)";1956;"Behoudenswaard";"Burgemeester Röellstraat 40";"Geen monument";0;"";"In de zijgevel van de voormalige kruidenierswinkel van Piet de Gruyter op Burgemeester Röellstraat 40 bevindt zich een keramisch reliëf van Henk Tieman. Het heeft kunsthistorische waarde als een figuratief kunstwerk uit de jaren vijftig.Als technicus en vormgever, in dienst van het atelier van de Bouwkeramiekafdeling van De Porceleyne Fles, heeft Henk Tieman tussen 1938 en 1982 veel en divers commercieel werk ontworpen en uitgevoerd. Ook zijn stijl kan zeer uiteenlopend zijn. Hij profileerde zich niet als `vrij kunstenaar`, maar stelde hij zich geheel in dienst van de klant, schreef architect Schelling kritisch in het artikel `Beeldend Aardewerk` in 1957 in het Bouwkundig Weekblad. Veel van zijn kunstwerken zijn al gesloopt.";"Het reliëf op de zijgevel van het voormalige winkelpand van De Gruyter heeft vooral cultuurhistorische waarde. Tieman heeft de Romeinse god Mercurius, god van de graanhandel, van de handel, reizigers en de winst afgebeeld. Een toepasselijke verbeelding voor een winkelketen die oorspronkelijk als bedrijf peulvruchten, zaden en granen verwerkte. De Gruyter heeft tot de jaren zeventig 300 winkels in Nederland gehad.In Amsterdam is (ook van Tieman) in de Technische school Patrimonium aan de Jan van Breemenstraat, een tweedelige reliëf aanwezig. Het bevindt zich aan weerszijden van een scheidingsmuur in de hal van de school.";"Het winkelpand is in 1956 gebouwd door de huisarchitect van De Gruyter, TeunisWildschut uit Den Bosch. Het okergele, bruine keramische reliëf heeft een beeldondersteunende werking op de zijgevel, die met okergele bakstenen is opgebouwd.";"POINT(4.826977,52.37475)";"POINT(52.37475,4.826977)";4.826977;52.37475;
139;"Mozaïek";"Phoenix";"Raymond Both (1916-1994)";1956;"Top";"Burgemeester Cramergracht 1";"Geen monument";0;"af3bb7df-8cdc-4bed-83c8-96b78072e898.jpg";"In de zijgevel van de galerijflat aan de Burgemeester Cramergracht, hoek Burgemeester Roëllstraat is een groot tegelmozaïek aanwezig, gemaakt door Raymond Both. Het heeft een kunsthistorische waarde als een abstract-figuratief kunstwerk uit de jaren vijftig van de lokaal bekende monumentaal kunstenaar Raymond Both. De Amsterdamse kunstenaar heeft zijn opleiding genoten aan de Rijksacademie van Beeldende Kunsten en beoefende diverse monumentale technieken zoals het maken van betonreliëfs, betonintarsia`s, mozaïeken en wandschilderingen.";"Dit mozaïek in de kleuren rood, wit en blauw met zwart symboliseert de wederopstanding van Nederland na de Tweede Wereldoorlog. Het heeft een grotere waarde als symbool van de wederopbouw. In Amsterdam heeft Both een aantal monumentale kunstwerken gemaakt, waaronder de tegelintarsia in de gevel van de Maranathakerk in de Hunzestraat 85, een wandschildering in de gymzaal in de school op het Mariendaal 11, een abstract wandvullend mozaïek op de binnenplaats de Prinsenhofsteeg 5 en een tweedelige wandschildering in het bijpostkantoor Watergraafsmeer in 1960.";"Het kunstwerk is beeldbepalend op deze hoge flat van architect Piet Zanstra, die beschouwd wordt als de eerste galerijflat van Amsterdam. Het heeft stedenbouwkundige waarde en dient als een baken op de brede en lange Burgemeester Roëllstraat die de oude stad verbindt met Geuzenveld Nieuw West. Het maakt onderdeel uit van een beeldend oriëntatie- en wegbewijzeringssysteem.";"POINT(4.832487,52.373338)";"POINT(52.373338,4.832487)";4.832487;52.373338;
140;"Reliëf";"";"André Schaller (1920-1981)";1956;"Waardevol";"Sara Burgerhartstraat 34";"Geen monument";0;"";"Boven de drie gemeenschappelijke trappenhuizen aan de Sara Burgerhartstraat 34-36, 54-56, 74-76 zijn zes gevelbeelden van André Schaller aanwezig. Ze hebben waarde als beelden van deze bekende beeldhouwer. Ze zijn gemaakt in 1947 en in zijn oeuvre hebben ze waarde als een van zijn vroegste opdrachten. Schaller stond in het begin van de jaren vijftig nog bekend om zijn figuratieve stijl en werd genoemd door beeldhouwer/kunstcriticus Leo Braat tot degenen die, met onder anderen Couzijn, Reijers, Guntenaar en Kneulman, de `beeldhouwkunst in nieuwe banen` leidden. Deze in Den Haag geboren, Amsterdamse beeldhouwer, schilder en fotograaf is bekend geworden door het beeld `Salomonsoordeel` dat voor het Arnhemse Paleis van Justitie staat. Schaller, opgeleid door de beeldhouwer Frits van Hall en door professor Bronner aan de Rijksacademie, schreef ook kritieken in vakbladen. Zijn werk is tentoongesteld in een overzichtstentoonstelling in Arti et Amicitiae.";"Hij verwierf de eervolle opdracht om een beeld van Vincent van Gogh te maken dat in 1959 een prestigieuze plek op het Museumplein kreeg. Het beeld met een kubistische inslag is na veertig jaar verplaatst naar een plekje naast de molen aan de Akersluisweg.";"Deze zes gevelsculpturen in de Sara Burgerhartstraat zijn beeldbepalend en van belang voor het woningblok. Dit appartementencomplex is door architect Brouwer in opdracht van de Protestantse Woningbouwvereniging gebouwd.";"POINT(4.849171,52.382843)";"POINT(52.382843,4.849171)";4.849171;52.382843;
141;"Sculptuur";"De Baadster";"Hildo Krop (1884-1970)";1956;"Waardevol";"Marnixplein 1";"Geen monument";0;"";"In het midden van de baksteengevel van het Marnixbad bevond zich tot de sloop van het gebouw in 2003 een langgerekte stenen sculptuur van Hildo Krop. Het heeft een kunsthistorische waarde als een architectonisch gebonden figuratief beeld met een symbolische, romantische waarde. Het heeft ook een kunsthistorische waarde als een beeld van Krop, één van de belangrijkste beeldhouwers van Amsterdam. In zijn omvangrijke oeuvre heeft het in zijn naoorlogse periode een hoge waarde. Het beeld, dat De Baadster heet, is ongeveer vier meter hoog en stelt een vrouw met lang nat haar voor, die uit het water komt. De vrouw die op een duikplankachtige sokkel staat, doet denken aan het schilderij `Geboorte van Venus` van Botticelli (1484). Krop heeft in Amsterdam een lange staat van dienst. In 1915 is hij -officieus- aangesteld als stadsbeeldhouwer en heeft voor de Dienst der Publieke Werken talloze beelden, bouwbeelden en reliëfs gemaakt voor bruggen, gemeentegebouwen, scholen (zoals die op de P.L. Takstraat bij de Jozef Israëlskade en de HBS op Zocherstraat 23 aan het Vondelpark), voor de universiteit, voor woningcomplexen en dergelijke. Krop werkte in klei, maar ook vaak in het steen, de `taille-direct`. Vaak verwerkte hij een mysterieuze en poëtische symboliek in zijn beelden, geïnspireerd door de oosterse culturen. Aan Krop zijn diverse publicaties gewijd en in zijn geboorteplaats Steenwijk staat het Hildo Krop Museum. Hij besloot in zijn jeugd om geen banketbakker te worden, maar om zijn passie voor de kunst te volgen. Na een half jaar kunstlessen op de Académie Julien in Parijs, werd hij in 1908 toegelaten op beeldhouwopleiding bij Bart van Hove op de Rijksacademie voor Beeldende Kunsten. Na het behalen van zijn diploma in 1910-1911 en de akte MO-tekenen, kreeg hij rond 1914 zijn eerste opdrachten voor het Scheepvaarthuis. Als assistent van Van den Eijnde maakte hij toen een aantal symbolische sculpturen.";"De Baadster heeft een cultuurhistorische waarde voor het Marnixbad omdat het speciaal gemaakt voor het zwembad.Zijn oeuvrelijst bestaat uit 130 bouwbeelden, waarvan er 84 in Amsterdam zijn uitgevoerd. Daarnaast telt de lijst 54 herdenkingsbeelden en reliëfs. Na 1945 heeft hij vermoedelijk acht bouwbeelden en vijf herdenkingsreliëfs gemaakt, waaronder de portretplaquette van Plesman. Voor het Spinozalyceum staat het beeld van de humanist Spinoza, gemaakt door Krop, en op het Victorieplein staat zijn portretbeeld van architect Berlage. Hoog op de voorgevel van het hoofdbureau van de politie op de Marnixstraat staat ook een beeldengroep van Hildo Krop.";"De Baadster had een beeldbepalende positie aan de gevel van het Marnixbad. De foto`s van Krop zijn afkomstig van de Beeldbank van het Stadsarchief Amsterdam (SAA). Op de website over Hildo Krop van Loek van Vlerken wordt vermeld dat De Baadster mogelijk in 2018 hergeplaatst wordt in het Marnixbad.";"POINT(4.878557,52.378075)";"POINT(52.378075,4.878557)";4.878557;52.378075;
