"�..OBJECTNUMMER";"Zaaknaam";"Adres";"Producten";"Horeca_soort";"Dagen";"Tijden";"Website";"BOERENMARKT";"NATUURWINKEL";"HORECA";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
88;"Theehuis Himalaya";"Warmoesstraat 56, 1012 JG Amsterdam";"";"Theehuis";"";"";"http://www.himalaya.nl";0;0;"1";"POINT(4.8980348,52.3752944)";"POINT(52.3752944,4.8980348)";4.8980348;52.3752944;NA
89;"Leccornia Organic To Go";"Haarlemmerstraat 68, 1013 ET Amsterdam";"";"Restaurant";"";"";"http://www.leccornia.nl";0;0;"1";"POINT(4.8920152,52.3802916)";"POINT(52.3802916,4.8920152)";4.8920152;52.3802916;NA
90;"Lloyd hotel";"Oostelijke Handelskade 34, 1019 BN Amsterdam";"";"Hotel";"";"";"http://www.lloydhotel.com";0;0;"1";"POINT(4.9348352,52.3742911)";"POINT(52.3742911,4.9348352)";4.9348352;52.3742911;NA
91;"Morning star";"Nieuwezijds Voorburgwal 289TO, 1012 RL Amsterdam";"";"Lunchroom";"";"";"http://www.morning-star.eu";0;0;"1";"POINT(4.8899949,52.3711936)";"POINT(52.3711936,4.8899949)";4.8899949;52.3711936;NA
92;"Natuurlijk Smullen";"Jan van Galenstraat 78, 1056 CD Amsterdam";"";"Snackbar";"";"";"http://www.natuurlijksmullen.nl";0;0;"1";"POINT(4.8612349,52.3751914)";"POINT(52.3751914,4.8612349)";4.8612349;52.3751914;NA
93;"Peter Pan";"Papaverweg 37B, 1032 KE Amsterdam";"";"Kookstudio/cateraar";"";"";"http://www.peterpan.nl";0;0;"1";"POINT(4.9064801,52.3962943)";"POINT(52.3962943,4.9064801)";4.9064801;52.3962943;NA
94;"Pianeta Terra";"Beulingstraat 7, 1017 BA Amsterdam";"";"Restaurant/cateraar";"";"";"http://www.pienetaterra.nl";0;0;"1";"POINT(4.8877852,52.367993)";"POINT(52.367993,4.8877852)";4.8877852;52.367993;NA
95;"As, Restaurant";"Prinses Irenestraat 19, 1077 WT Amsterdam";"";"Restaurant";"";"";"http://www.restaurantas.nl";0;0;"1";"POINT(4.880625,52.3416945)";"POINT(52.3416945,4.880625)";4.880625;52.3416945;NA
96;"Kas, De";"Kamerlingh Onneslaan 3, 1097 DE Amsterdam";"";"Restaurant";"";"";"http://www.restaurantdekas.nl";0;0;"1";"POINT(4.9305851,52.3522917)";"POINT(52.3522917,4.9305851)";4.9305851;52.3522917;NA
97;"Diga";"Amsteldijk 137, 1097 LE Amsterdam";"";"Restaurant";"";"";"http://www.restaurantdiga.nl";0;0;"1";"POINT(4.911205,52.3466918)";"POINT(52.3466918,4.911205)";4.911205;52.3466918;NA
98;"Icanto";"Amstel 2, 1017 AA Amsterdam";"";"Restaurant";"";"";"http://www.restaurant-incanto.nl";0;0;"1";"POINT(4.8938849,52.3669936)";"POINT(52.3669936,4.8938849)";4.8938849;52.3669936;NA
99;"Saladetuin, De";"Camperstraat 48, 1091 AH Amsterdam";"";"Cateraar";"";"";"http://www.saladetuin.nl";0;0;"1";"POINT(4.9133751,52.3577925)";"POINT(52.3577925,4.9133751)";4.9133751;52.3577925;NA
100;"Siere Cateraars";"Veemarkt 53, 1019 DA Amsterdam";"";"Cateraar";"";"";"http://www.siere.com";0;0;"1";"POINT(4.936115,52.3677947)";"POINT(52.3677947,4.936115)";4.936115;52.3677947;NA
101;"Colour Kitchen, The";"Jan Evertsenstraat 747, 1061 XZ Amsterdam";"";"Restaurant/cateraar";"";"";"http://www.thecolourkitchen.com";0;0;"1";"POINT(4.835995,52.3695914)";"POINT(52.3695914,4.835995)";4.835995;52.3695914;NA
102;"Umoja";"Amstelveenseweg 154, 1075 XM Amsterdam";"";"Restaurant/cateraar";"";"";"http://www.umojarestaurant.nl";0;0;"1";"POINT(4.8556249,52.3536917)";"POINT(52.3536917,4.8556249)";4.8556249;52.3536917;NA
103;"Saladetuin-West, De";"Johan Huizingalaan 104, 1065 JE Amsterdam";"";"Cateraar";"";"";"http://www.vers-uit-west.nl";0;0;"1";"POINT(4.8268549,52.3616912)";"POINT(52.3616912,4.8268549)";4.8268549;52.3616912;NA
104;"Waaghals, De";"Frans Halsstraat 29, 1072 BK Amsterdam";"";"Restaurant";"";"";"http://www.waaghals.nl";0;0;"1";"POINT(4.8889849,52.3570944)";"POINT(52.3570944,4.8889849)";4.8889849;52.3570944;NA
105;"Witte Uyl, De";"Frans Halsstraat 26, 1072 BR Amsterdam";"";"Restaurant";"";"";"http://www.witteuyl.com";0;0;"1";"POINT(4.8887751,52.3577925)";"POINT(52.3577925,4.8887751)";4.8887751;52.3577925;NA
106;"Zing Food";"Warmondstraat 180, 1058 LC Amsterdam";"";"Cateraar";"";"";"http://www.zingfood.nl";0;0;"1";"POINT(4.8493349,52.3526923)";"POINT(52.3526923,4.8493349)";4.8493349;52.3526923;NA
