OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
149;"Onze Lieve Vrouwekerk (Moeder Godskerk) - Syrisch Orthodoxe kerk";"Onze Lieve Vrouwekerk (Moeder Godskerk)";"Keizersgracht 220";"Kerk";"Syrisch Orthodoxe kerk";5;"Christelijke kerk overig";"http://www.morephrem.com/nl/cms/index.php?page=moeder-gods-kerk";"POINT(4.8845179,52.3728758)";"POINT(52.3728758,4.8845179)";4.8845179;52.3728758;
150;"Onze Lieve Vrouwekerk (Moeder Godskerk) - Opus Dei, ook Surinaams, Italiaans, Ethiopische/Eritirees";"Onze Lieve Vrouwekerk (Moeder Godskerk)";"Keizersgracht 220";"Kerk";"Opus Dei, ook Surinaams, Italiaans, Ethiopische/Eritirees";2;"Rooms Katholieke kerk";"";"POINT(4.884165,52.3728835)";"POINT(52.3728835,4.884165)";4.884165;52.3728835;
151;"Keizersgrachtkerk";"Keizersgrachtkerk";"Keizersgracht 566";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8881271,52.3646475)";"POINT(52.3646475,4.8881271)";4.8881271;52.3646475;
152;"Church of Pentecost - Nederlandse Pinkster - en volle evangeliebeweging";"Church of Pentecost";"Kempering 58";"Samenkomstfunctie";"Nederlandse Pinkster - en volle evangeliebeweging";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9783742,52.3152014)";"POINT(52.3152014,4.9783742)";4.9783742;52.3152014;
153;"Church of Ephesians";"Church of Ephesians";"Kikkenstein 2323";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9734828,52.3169715)";"POINT(52.3169715,4.9734828)";4.9734828;52.3169715;
154;"Christengemeente De Oogst";"Christengemeente De Oogst";"Kikkenstein 2919";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9742382,52.3169028)";"POINT(52.3169028,4.9742382)";4.9742382;52.3169028;
155;"Mana kerk (Mana Igreja Christa) - Portugees";"Mana kerk (Mana Igreja Christa)";"Klaprozenweg 11";"Woonhuis";"Portugees";1;"Evangelische- of Pinksterkerk";"";"POINT(4.911392,52.3952986)";"POINT(52.3952986,4.911392)";4.911392;52.3952986;
156;"Deeper Christian Life Ministries";"Deeper Christian Life Ministries";"Klieverink 971";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.deeperlife.nl/";"POINT(4.9817979,52.3161017)";"POINT(52.3161017,4.9817979)";4.9817979;52.3161017;
157;"Regenboogkerk - Nederlandse Pinkster - en volle evangeliebeweging";"Regenboogkerk";"Kometensingel 58";"Kerk";"Nederlandse Pinkster - en volle evangeliebeweging";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8929398,52.4150321)";"POINT(52.4150321,4.8929398)";4.8929398;52.4150321;
158;"Glad Tidings Assembly of God";"Glad Tidings Assembly of God";"Kortvoort 67";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9731119,52.3149649)";"POINT(52.3149649,4.9731119)";4.9731119;52.3149649;
