OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Kelbergen 153";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.9769871,52.3113867)";"POINT(52.3113867,4.9769871)";4.9769871;52.3113867;
2;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Sleewijkstraat 12";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.9718339,52.2915923)";"POINT(52.2915923,4.9718339)";4.9718339;52.2915923;
3;"Shambhala meditatie centrum - Shambhala- en Tibetaans-boeddhistisch";"Shambhala meditatie centrum";"1e Jacob van Campenstraat 4";"Onbekend";"Shambhala- en Tibetaans-boeddhistisch";11;"Boeddhistische tempel";"http://www.shambhala.nl/index.php?id=7100";"POINT(4.887224,52.357453)";"POINT(52.357453,4.887224)";4.887224;52.357453;
4;"De Brug - Unie van Baptisten Gemeenten in Nederland";"De Brug";"Aakstraat 3";"Kerk";"Unie van Baptisten Gemeenten in Nederland";1;"Evangelische- of Pinksterkerk";"http://www.baptisten.nl";"POINT(4.9156229,52.4061057)";"POINT(52.4061057,4.9156229)";4.9156229;52.4061057;
5;"De Brug - Holland Methodist Church";"De Brug";"Aakstraat 3";"Kerk";"Holland Methodist Church";5;"Christelijke kerk overig";"http://hollandmethodistchurch.org";"POINT(4.9158242,52.4060027)";"POINT(52.4060027,4.9158242)";4.9158242;52.4060027;
6;"De Ark";"De Ark";"Banne Buikslootlaan 63C";"Onbekend";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9125211,52.4078757)";"POINT(52.4078757,4.9125211)";4.9125211;52.4078757;
7;"Dorpskerk Zunderdorp - Classis Edam-Zaandam";"Dorpskerk Zunderdorp";"Achterlaan 12";"Kerk";"Classis Edam-Zaandam";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9667718,52.4069411)";"POINT(52.4069411,4.9667718)";4.9667718;52.4069411;
8;"Heilige Franciscus van Assisi (De Boomkerk) - Ook Engels, All Saints Chruch - Afrikaans Katholiek";"Heilige Franciscus van Assisi (De Boomkerk)";"Admiraal De Ruijterweg 406";"Kerk";"Ook Engels, All Saints Chruch - Afrikaans Katholiek";2;"Rooms Katholieke kerk";"";"POINT(4.850642,52.3830954)";"POINT(52.3830954,4.850642)";4.850642;52.3830954;
9;"Rafaelgemeenschap Haggai";"Rafaelgemeenschap Haggai";"Alkmaarstraat 10";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://rafaelamsterdamnoord.nl/";"POINT(4.9511378,52.3947608)";"POINT(52.3947608,4.9511378)";4.9511378;52.3947608;
10;"Sint Agneskerk - Priesterbroederschap van Sint Petrus";"Sint Agneskerk";"Amstelveenseweg 163";"Kerk";"Priesterbroederschap van Sint Petrus";2;"Rooms Katholieke kerk";"";"POINT(4.8577759,52.3501975)";"POINT(52.3501975,4.8577759)";4.8577759;52.3501975;
11;"Augustinuskerk";"Augustinuskerk";"Amstelveenseweg 965";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.8582108,52.3222815)";"POINT(52.3222815,4.8582108)";4.8582108;52.3222815;
12;"Amstelkerk - Christelijke Gereformeerde Kerken in Nederland (CGK)";"Amstelkerk";"Amstelveld 8";"Kerk";"Christelijke Gereformeerde Kerken in Nederland (CGK)";4;"Gereformeerde kerk";"";"POINT(4.8963902,52.3622824)";"POINT(52.3622824,4.8963902)";4.8963902;52.3622824;
13;"Immanuelkerk - Chinese Evangelisch Christelijke Kerk? EMSI Europe";"Immanuelkerk";"Anton Waldorpstraat 90";"Kerk";"Chinese Evangelisch Christelijke Kerk? EMSI Europe";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8410361,52.3616263)";"POINT(52.3616263,4.8410361)";4.8410361;52.3616263;
14;"Apostolische kerk - Apostolisch Genootschap";"Apostolische kerk";"Archimedesweg 97";"Kerk";"Apostolisch Genootschap";5;"Christelijke kerk overig";"";"POINT(4.940767,52.3552138)";"POINT(52.3552138,4.940767)";4.940767;52.3552138;
15;"Pinkstergemeente Amsterdam (VPE)";"Pinkstergemeente Amsterdam (VPE)";"Arent Janszoon Ernststraat 302";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.pinkstergemeente-amsterdam.nl";"POINT(4.8759592,52.3324706)";"POINT(52.3324706,4.8759592)";4.8759592;52.3324706;
16;"Andrieskerk - De Christengemeenschap";"Andrieskerk";"Arent Janszoon Ernststraat 869";"Kerk";"De Christengemeenschap";5;"Christelijke kerk overig";"";"POINT(4.8681028,52.3318373)";"POINT(52.3318373,4.8681028)";4.8681028;52.3318373;
17;"Heilig Vuur West  - Protestantse Kerk ";"Heilig Vuur West ";"Arie Biemondstraat 103";"Voormalig Ziekenhuis ";"Protestantse Kerk ";3;"Protestantse Kerk Nederland (PKN)";"www.heiligvuurwest.nl";"POINT(4.8679788,52.3638121)";"POINT(52.3638121,4.8679788)";4.8679788;52.3638121;
18;"EL Hijra Moskee - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"EL Hijra Moskee";"Arthur van Schendelstraat 17";"Kerk";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.8287589,52.3759925)";"POINT(52.3759925,4.8287589)";4.8287589;52.3759925;
19;"Moskee el Ouma - Islamitisch Sociaal Cultureel Centrum";"Moskee el Ouma - Islamitisch Sociaal Cultureel Centrum";"August Allebeplein 1";"Moskee";"";6;"Marokkaanse Moskee";"";"POINT(4.8394401,52.3636061)";"POINT(52.3636061,4.8394401)";4.8394401;52.3636061;
20;"Moskee Ghousia Masjid - Pakistaanse Moskee";"Moskee Ghousia Masjid";"Baarsjesweg 160";"Flatgebouw";"Pakistaanse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.8625281,52.3678977)";"POINT(52.3678977,4.8625281)";4.8625281;52.3678977;
21;"Gurdwara Maan Sarovar Sahib";"Gurdwara Maan Sarovar Sahib";"Baarsjesweg 281";"Onbekend";"";12;"Sikh tempel";"http://www.sikhs.nl/gurudwara_in_nederland_Amsterdam2.htm";"POINT(4.8613102,52.3666503)";"POINT(52.3666503,4.8613102)";4.8613102;52.3666503;
22;"Milli Görüs Mevlana Moskee Stichting";"Milli Görüs Mevlana Moskee Stichting";"Baas Gansendonckstraat 2";"Onbekend";"";7;"Turkse Moskee";"";"POINT(4.8406422,52.3769919)";"POINT(52.3769919,4.8406422)";4.8406422;52.3769919;
23;"Rafaelgemeenschap Rama";"Rafaelgemeenschap Rama";"Banne buikslootlaan 63B";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.rafael.nl/page.php?pageID=302";"POINT(4.9129212,52.4075896)";"POINT(52.4075896,4.9129212)";4.9129212;52.4075896;
24;"Kohaniem - Joods Begrafeniswezen?";"Kohaniem";"Beeckenstein 5";"Onbekend";"Joods Begrafeniswezen?";9;"Joodse synagoge";"";"POINT(4.8664658,52.3250243)";"POINT(52.3250243,4.8664658)";4.8664658;52.3250243;
25;"Kapel Verzorgingshuis De Kimme";"Kapel Verzorgingshuis De Kimme";"Beemsterstraat 546";"Onbekend";"";3;"Protestantse Kerk Nederland (PKN)";"http://www.evean.nl/evean-bij-u-in-de-wijk/locaties/kimme/";"POINT(4.9510939,52.3962981)";"POINT(52.3962981,4.9510939)";4.9510939;52.3962981;
26;"Johannes en Ursulakerk (Mirakelkerk, Begijnhofkapel) - Paters Sacramentijnen [ook Frans]";"Johannes en Ursulakerk (Mirakelkerk, Begijnhofkapel)";"Begijnhof 29";"Onbekend";"Paters Sacramentijnen [ook Frans]";2;"Rooms Katholieke kerk";"";"POINT(4.8896601,52.3693358)";"POINT(52.3693358,4.8896601)";4.8896601;52.3693358;
27;"Engelse Hervormde Kerk - Engelse Hervormde Kerk, PKN";"Engelse Hervormde Kerk";"Begijnhof 48";"Kerk";"Engelse Hervormde Kerk, PKN";5;"Christelijke kerk overig";"";"POINT(4.88994,52.36929)";"POINT(52.36929,4.88994)";4.88994;52.36929;
28;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Bernard Loderstraat 86";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.8176939,52.3810889)";"POINT(52.3810889,4.8176939)";4.8176939;52.3810889;
29;"Noori Moskee - Surinaamse Moskee";"Noori Moskee";"Bessemerstraat 25";"School";"Surinaamse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.9240978,52.3519026)";"POINT(52.3519026,4.9240978)";4.9240978;52.3519026;
30;"Ignatiushuis - Oecumenisch (van Katholieke stroming)";"Ignatiushuis";"Beulingstraat 11";"Woonhuis";"Oecumenisch (van Katholieke stroming)";5;"Christelijke kerk overig";"";"POINT(4.8876641,52.3679511)";"POINT(52.3679511,4.8876641)";4.8876641;52.3679511;
31;"De Kandelaar - King of Kings Baptist Church, Unie van Baptisten Gemeenten in Nederland";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"King of Kings Baptist Church, Unie van Baptisten Gemeenten in Nederland";1;"Evangelische- of Pinksterkerk";"http://www.baptisten.nl";"POINT(4.9756229,52.3222319)";"POINT(52.3222319,4.9756229)";4.9756229;52.3222319;
32;"De Kandelaar - Pentecost Revival Church";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"Pentecost Revival Church";1;"Evangelische- of Pinksterkerk";"http://www.pentecostrevival.nl/";"POINT(4.9753668,52.3222434)";"POINT(52.3222434,4.9753668)";4.9753668;52.3222434;
33;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9752848,52.3223883)";"POINT(52.3223883,4.9752848)";4.9752848;52.3223883;
34;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9751551,52.3224913)";"POINT(52.3224913,4.9751551)";4.9751551;52.3224913;
35;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9752099,52.3221366)";"POINT(52.3221366,4.9752099)";4.9752099;52.3221366;
36;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9755132,52.3223693)";"POINT(52.3223693,4.9755132)";4.9755132;52.3223693;
37;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.975023,52.3223197)";"POINT(52.3223197,4.975023)";4.975023;52.3223197;
38;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9752362,52.3223158)";"POINT(52.3223158,4.9752362)";4.9752362;52.3223158;
39;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.975116,52.3222434)";"POINT(52.3222434,4.975116)";4.975116;52.3222434;
40;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.974962,52.3223998)";"POINT(52.3223998,4.974962)";4.974962;52.3223998;
41;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9753668,52.3222434)";"POINT(52.3222434,4.9753668)";4.9753668;52.3222434;
42;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9753649,52.3225104)";"POINT(52.3225104,4.9753649)";4.9753649;52.3225104;
43;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9755242,52.3220831)";"POINT(52.3220831,4.9755242)";4.9755242;52.3220831;
44;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9753311,52.3220259)";"POINT(52.3220259,4.9753311)";4.9753311;52.3220259;
45;"De Kandelaar";"De Kandelaar";"Bijlmerdreef 1239";"Kerkelijk centrum";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.975446,52.3221594)";"POINT(52.3221594,4.975446)";4.975446;52.3221594;
46;"Kanzeon Zen centrum Amsterdam";"Kanzeon Zen centrum Amsterdam";"Binnenkant 39";"Onbekend";"";11;"Boeddhistische tempel";"http://zenamsterdam.nl";"POINT(4.9056261,52.3729521)";"POINT(52.3729521,4.9056261)";4.9056261;52.3729521;
47;"Bloemgrachtkerk - Hersteld Apostolische Zendingkerk - stam Juda";"Bloemgrachtkerk";"Bloemgracht 98";"Kerk";"Hersteld Apostolische Zendingkerk - stam Juda";5;"Christelijke kerk overig";"";"POINT(4.880245,52.3747412)";"POINT(52.3747412,4.880245)";4.880245;52.3747412;
48;"UKGR Evangelisch Centrum";"UKGR Evangelisch Centrum";"Borneostraat 40";"Woonhuis";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.934767,52.3650023)";"POINT(52.3650023,4.934767)";4.934767;52.3650023;
49;"Al Mouahiddine Moskee - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"Al Mouahiddine Moskee";"Borrendammehof 32";"School";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.7946398,52.3576819)";"POINT(52.3576819,4.7946398)";4.7946398;52.3576819;
50;"Nieuwendammerkerk";"Nieuwendammerkerk";"Brede Kerkepad 8";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9406788,52.3917548)";"POINT(52.3917548,4.9406788)";4.9406788;52.3917548;
51;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Breedveld 9";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.9339082,52.3958823)";"POINT(52.3958823,4.9339082)";4.9339082;52.3958823;
52;"Word Wide Vision Ministries (VPE)";"Word Wide Vision Ministries (VPE)";"Buikslotermeerplein 7";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://worldwidevisionchurch.nl";"POINT(4.9351742,52.4000403)";"POINT(52.4000403,4.9351742)";4.9351742;52.4000403;
53;"El Hijra";"El Hijra";"Burgemeester Rendorpstraat 60";"Kerk";"";6;"Marokkaanse Moskee";"";"POINT(4.8282602,52.3760001)";"POINT(52.3760001,4.8282602)";4.8282602;52.3760001;
54;"Catharinakerk (Sint Sharbil) - Syrisch Orthodoxe kerk";"Catharinakerk (Sint Sharbil)";"Burgemeester Eliasstraat 72";"Woonhuis";"Syrisch Orthodoxe kerk";5;"Christelijke kerk overig";"http://www.morephrem.com/nl/cms/index.php?page=st-sharbil-kerk";"POINT(4.8274639,52.3831679)";"POINT(52.3831679,4.8274639)";4.8274639;52.3831679;
55;"Praise Valley Temple";"Praise Valley Temple";"Burgemeester Fockstraat 85";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.praisevalleytemplewest.org/";"POINT(4.832164,52.3820235)";"POINT(52.3820235,4.832164)";4.832164;52.3820235;
56;"Hersteld Apostolische Zendingkerk - Hersteld Apostolische Zendingkerk";"Hersteld Apostolische Zendingkerk";"Burgemeester Roellstraat 199";"Bankgebouw";"Hersteld Apostolische Zendingkerk";5;"Christelijke kerk overig";"";"POINT(4.813,52.3760802)";"POINT(52.3760802,4.813)";4.813;52.3760802;
57;"Maranathakerk (Bethelkerk) - Maranatha Ministries";"Maranathakerk (Bethelkerk)";"Cabotstraat 35";"Kerk";"Maranatha Ministries";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8547161,52.3679625)";"POINT(52.3679625,4.8547161)";4.8547161;52.3679625;
58;"Moskee Nasr";"Moskee Nasr";"Celebesstraat 79";"Moskee";"";6;"Marokkaanse Moskee";"";"POINT(4.9331982,52.360459)";"POINT(52.360459,4.9331982)";4.9331982;52.360459;
59;"Cheng Yin Tang - True Buddha School (Chinees)";"Cheng Yin Tang";"Chass‚estraat 24";"Onbekend";"True Buddha School (Chinees)";11;"Boeddhistische tempel";"http://nl.wikipedia.org/wiki/Stg.Boeddhistische_Jen_Foo_Ching_Nederland-Jen_Yim_Tang";"POINT(4.8619101,52.3680388)";"POINT(52.3680388,4.8619101)";4.8619101;52.3680388;
60;"Apostolische kerk - Apostolisch Genootschap";"Apostolische kerk";"Clematisstraat 25";"Kerk";"Apostolisch Genootschap";5;"Christelijke kerk overig";"";"POINT(4.915055,52.3920867)";"POINT(52.3920867,4.915055)";4.915055;52.3920867;
61;"Studentenekklesia";"Studentenekklesia";"Da Costakade 102";"Onbekend";"";5;"Christelijke kerk overig";"http://studentenekklesia.nl";"POINT(4.8715951,52.3697783)";"POINT(52.3697783,4.8715951)";4.8715951;52.3697783;
62;"De Liefde (Nicolaas en Barbarakerk)";"De Liefde (Nicolaas en Barbarakerk)";"Da Costakade 10A";"Kerk(zaal) maakt deel uit van woningbouwcomplex";"";2;"Rooms Katholieke kerk";"";"POINT(4.8722718,52.3721816)";"POINT(52.3721816,4.8722718)";4.8722718;52.3721816;
63;"Shekinah ministries";"Shekinah ministries";"Daalwijkdreef 11";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.shekinah-ministries.org/";"POINT(4.9497688,52.3205191)";"POINT(52.3205191,4.9497688)";4.9497688;52.3205191;
64;"Wi egi Kerki - Evangelische Broedergemeenschap";"Wi egi Kerki";"Kortvoort 73";"Onbekend";"Evangelische Broedergemeenschap";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9723709,52.3141829)";"POINT(52.3141829,4.9723709)";4.9723709;52.3141829;
65;"De Duif (Sint Wilibrordus binnen de Veste) - Oecumenische gemeente (Basisbeweging Nederland [BBN])";"De Duif (Sint Wilibrordus binnen de Veste)";"Prinsengracht 756";"Kerk";"Oecumenische gemeente (Basisbeweging Nederland [BBN])";5;"Christelijke kerk overig";"";"POINT(4.8967068,52.3614356)";"POINT(52.3614356,4.8967068)";4.8967068;52.3614356;
66;"Nassaukerk";"Nassaukerk";"De Wittenkade 111";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.876982,52.3827178)";"POINT(52.3827178,4.876982)";4.876982;52.3827178;
67;"God is Love Pentecostal Church (Braziliaans)";"God is Love Pentecostal Church (Braziliaans)";"Den brielstraat 6";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"https://en.wikipedia.org/wiki/God_is_Love_Pentecostal_Church";"POINT(4.8584549,52.3844077)";"POINT(52.3844077,4.8584549)";4.8584549;52.3844077;
68;"Guru Ram Das Ashram (3HO)";"Guru Ram Das Ashram (3HO)";"Den Texstraat 46";"Onbekend";"";12;"Sikh tempel";"http://www.sikhs.nl/gurudwara_in_nederland_Amsterdam1.htm";"POINT(4.8953869,52.3586814)";"POINT(52.3586814,4.8953869)";4.8953869;52.3586814;
69;"Celestial Church of Christ";"Celestial Church of Christ";"Dennenrode 100J";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://www.celestialchurch.com";"POINT(4.9541862,52.3217932)";"POINT(52.3217932,4.9541862)";4.9541862;52.3217932;
70;"Calvariekerk - Pinkstergemeenten";"Calvariekerk";"Derkinderenstraat 90";"Kerk";"Pinkstergemeenten";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8407571,52.3643881)";"POINT(52.3643881,4.8407571)";4.8407571;52.3643881;
71;"Calvariekerk - Johan Maasbach Wereldzending";"Calvariekerk";"Derkinderenstraat 90";"Kerk";"Johan Maasbach Wereldzending";1;"Evangelische- of Pinksterkerk";"http://www.maasbach.com/site/bezoek-ons/";"POINT(4.8412011,52.3643881)";"POINT(52.3643881,4.8412011)";4.8412011;52.3643881;
72;"Sint Gabriëlkerk - Vrij-Katholieke Kerk";"Sint Gabriëlkerk";"Deurloostraat 17";"Kerk";"Vrij-Katholieke Kerk";5;"Christelijke kerk overig";"";"POINT(4.8937361,52.3460662)";"POINT(52.3460662,4.8937361)";4.8937361;52.3460662;
73;"Vrijburg (Nieuwe Kerk) - Remonstrantse Broederschap (Christelijk gereformeerd)";"Vrijburg (Nieuwe Kerk)";"Diepenbrockstraat 46";"Kerk";"Remonstrantse Broederschap (Christelijk gereformeerd)";5;"Christelijke kerk overig";"";"POINT(4.8827088,52.3458296)";"POINT(52.3458296,4.8827088)";4.8827088;52.3458296;
74;"Vrijburg (Nieuwe Kerk) - Vrijzinnige Protestanten (VVP)";"Vrijburg (Nieuwe Kerk)";"Diepenbrockstraat 46";"Kerk";"Vrijzinnige Protestanten (VVP)";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8824689,52.3457343)";"POINT(52.3457343,4.8824689)";4.8824689;52.3457343;
75;"Maarten Lutherkerk - Nederlands Gereformeerde kerk (NGK)";"Maarten Lutherkerk";"Dintelstraat 134";"Kerk";"Nederlands Gereformeerde kerk (NGK)";4;"Gereformeerde kerk";"";"POINT(4.894871,52.3414275)";"POINT(52.3414275,4.894871)";4.894871;52.3414275;
76;"Maarten Lutherkerk - Church of Urdu Congregation (Pakistaans Christelijk, werken samen met PKN)";"Maarten Lutherkerk";"Dintelstraat 134";"Kerk";"Church of Urdu Congregation (Pakistaans Christelijk, werken samen met PKN)";5;"Christelijke kerk overig";"http://www.pkn.nl/overons/kerkzoeker/kerkzoeker/Paginas/Urdu_Speaking_Congregation_te_Amsterdam.aspx";"POINT(4.89516,52.341416)";"POINT(52.341416,4.89516)";4.89516;52.341416;
77;"Maarten Lutherkerk - Evangelisch Luthers";"Maarten Lutherkerk";"Dintelstraat 134";"Kerk";"Evangelisch Luthers";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.8950279,52.3414198)";"POINT(52.3414198,4.8950279)";4.8950279;52.3414198;
78;"Dorpskerk Holysloot - Classis Edam-Zaandam";"Dorpskerk Holysloot";"Dorpsstraat Holysloot 30";"Kerk";"Classis Edam-Zaandam";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(5.0246808,52.4130637)";"POINT(52.4130637,5.0246808)";5.0246808;52.4130637;
79;"Stichting Erdem";"Stichting Erdem";"Dr. H. Colijnstraat 82";"Kerk";"";7;"Turkse Moskee";"";"POINT(4.8068778,52.3793646)";"POINT(52.3793646,4.8068778)";4.8068778;52.3793646;
80;"Dorpskerk Durgerdam - Classis Edam-Zaandam";"Dorpskerk Durgerdam";"Durgerdammerdijk 76";"Kerk";"Classis Edam-Zaandam";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9881618,52.378327)";"POINT(52.378327,4.9881618)";4.9881618;52.378327;
81;"Flatgebouw - Migrantenkerk";"Flatgebouw";"Echtenstein 100B";"Flatgebouw";"Migrantenkerk";1;"Evangelische- of Pinksterkerk";"";"POINT(4.96119,52.3248068)";"POINT(52.3248068,4.96119)";4.96119;52.3248068;
82;"Flatgebouw - Christengemeente Filadelfia van Apocalipsis";"Flatgebouw";"Echtenstein 100D";"Flatgebouw";"Christengemeente Filadelfia van Apocalipsis";1;"Evangelische- of Pinksterkerk";"http://www.chrgemfiladelfiaapoc.nl/";"POINT(4.961612,52.3244254)";"POINT(52.3244254,4.961612)";4.961612;52.3244254;
83;"De Binnenwaai - Protestantse kerk ";"De Binnenwaai";"Ed Pelsterpark 2";"Combi woon en werken ";"Protestantse kerk ";3;"Protestantse Kerk Nederland (PKN)";"https://www.debinnenwaai.nl/";"POINT(4.995857,52.3566634)";"POINT(52.3566634,4.995857)";4.995857;52.3566634;
84;"End Time Revival Ministry";"End Time Revival Ministry";"Eeftink 100F";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9638321,52.3253867)";"POINT(52.3253867,4.9638321)";4.9638321;52.3253867;
85;"Sai Baba groep";"Sai Baba groep";"Eerste Nassaustraat 7";"Onbekend";"";10;"Hindoeistische tempel";"http://www.sathyasai.nl/";"POINT(4.8794162,52.3830878)";"POINT(52.3830878,4.8794162)";4.8794162;52.3830878;
86;"Ressurection power";"Ressurection power";"Egeldonk 100B";"Bedrijfspand";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9665391,52.3261077)";"POINT(52.3261077,4.9665391)";4.9665391;52.3261077;
87;"Faried-UL-Islam - Surinaamse Moskee";"Faried-UL-Islam";"Ekingenstraat 9";"Woonhuis";"Surinaamse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.7968538,52.3567587)";"POINT(52.3567587,4.7968538)";4.7968538;52.3567587;
88;"Ons Lokaal - Vergadering van gelovigen (Darbisten)";"Ons Lokaal";"Emilie Knappertstraat 49";"Samenkomstfunctie";"Vergadering van gelovigen (Darbisten)";1;"Evangelische- of Pinksterkerk";"http://vergadering.nu/vergamsterdam.htm";"POINT(4.8292549,52.3493811)";"POINT(52.3493811,4.8292549)";4.8292549;52.3493811;
89;"Augustanakerk - Evangelisch Luthers?, Protestants";"Augustanakerk";"Erasmusgracht 24";"Kerk";"Evangelisch Luthers?, Protestants";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.853317,52.3768355)";"POINT(52.3768355,4.853317)";4.853317;52.3768355;
90;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Fagelstraat 106";"Samenkomstfunctie - Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.8744128,52.3800093)";"POINT(52.3800093,4.8744128)";4.8744128;52.3800093;
91;"Christ Church (South) Anglicaanse Kerk  - Anglicaanse Kerk ";"Christ Church (South) Anglicaanse Kerk ";"Fred. Roeskestraat 94A";"School";"Anglicaanse Kerk ";5;"Christelijke kerk overig";"www.christchurch.nl";"POINT(4.8610599,52.3418814)";"POINT(52.3418814,4.8610599)";4.8610599;52.3418814;
92;"Soennah - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"Soennah";"Frederik Hendrikstraat 11";"Woonhuis";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.874696,52.3771636)";"POINT(52.3771636,4.874696)";4.874696;52.3771636;
93;"Onafhankelijke Baptisten (Etiopisch?)";"Onafhankelijke Baptisten (Etiopisch?)";"Frederik Hendrikstraat 17";"Onbekend";"";5;"Christelijke kerk overig";"";"POINT(4.875356,52.3771445)";"POINT(52.3771445,4.875356)";4.875356;52.3771445;
94;"Taqwah Moskee - Surinaamse Moskee";"Taqwah Moskee";"Generatorstraat 6";"Moskee";"Surinaamse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.8529398,52.3948256)";"POINT(52.3948256,4.8529398)";4.8529398;52.3948256;
95;"Tesjoengat Israel - Asjkenazisch Orthodox-Joodse Gemeenschap";"Tesjoengat Israel";"Gerard Doustraat 238";"Woonhuis";"Asjkenazisch Orthodox-Joodse Gemeenschap";9;"Joodse synagoge";"";"POINT(4.8978569,52.3570372)";"POINT(52.3570372,4.8978569)";4.8978569;52.3570372;
96;"Ahmadiyya - Surinaamse Moskee";"Ahmadiyya";"Gerard Doustraat 70";"Woonhuis";"Surinaamse Moskee";8;"Surinaamse / Pakistaanse Moskee";"";"POINT(4.8912828,52.3554999)";"POINT(52.3554999,4.8912828)";4.8912828;52.3554999;
