OBJECTNUMMER;Functie;Functie_gecorrigeerd;VOT_ID;Adres;Aantal_adressen;Gebruiksdoel;WOZ_gebruik;Hoofdfunctie;Hoofdfunctie_ID;Gebruiksoppervlakte;Footprint;Oppervlakte_gecorrigeerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11498;"kantoorfunctie";0;"0363010000672711";"Hoogoorddreef 11";0;"kantoorfunctie";"";"Kantoren";"K";6536;0;0;"POINT(4.944085,52.309053)";"POINT(52.309053,4.944085)";4.944085;52.309053;
11499;"overige gebruiksfunctie";0;"0363010001167600";"Hoogoorddreef 111";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";107;0;0;"POINT(4.939488,52.306825)";"POINT(52.306825,4.939488)";4.939488;52.306825;
11500;"overige gebruiksfunctie";0;"0363010001167601";"Hoogoorddreef 113";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939386,52.30678)";"POINT(52.30678,4.939386)";4.939386;52.30678;
11501;"overige gebruiksfunctie";0;"0363010001167602";"Hoogoorddreef 115";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939284,52.306752)";"POINT(52.306752,4.939284)";4.939284;52.306752;
11502;"overige gebruiksfunctie";0;"0363010001167603";"Hoogoorddreef 117";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939181,52.306725)";"POINT(52.306725,4.939181)";4.939181;52.306725;
11503;"overige gebruiksfunctie";0;"0363010001167604";"Hoogoorddreef 119";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";107;0;0;"POINT(4.939035,52.30667)";"POINT(52.30667,4.939035)";4.939035;52.30667;
11504;"overige gebruiksfunctie";0;"0363010001167605";"Hoogoorddreef 121";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";93;0;0;"POINT(4.939095,52.306608)";"POINT(52.306608,4.939095)";4.939095;52.306608;
11505;"overige gebruiksfunctie";0;"0363010001167606";"Hoogoorddreef 123";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";107;0;0;"POINT(4.938843,52.306885)";"POINT(52.306885,4.938843)";4.938843;52.306885;
11506;"overige gebruiksfunctie";0;"0363010001167607";"Hoogoorddreef 125";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.938974,52.30694)";"POINT(52.30694,4.938974)";4.938974;52.30694;
11507;"overige gebruiksfunctie";0;"0363010001167608";"Hoogoorddreef 127";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939076,52.306976)";"POINT(52.306976,4.939076)";4.939076;52.306976;
11508;"overige gebruiksfunctie";0;"0363010001167609";"Hoogoorddreef 129";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939179,52.307012)";"POINT(52.307012,4.939179)";4.939179;52.307012;
11509;"overige gebruiksfunctie";0;"0363010001167610";"Hoogoorddreef 131";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";107;0;0;"POINT(4.939296,52.307031)";"POINT(52.307031,4.939296)";4.939296;52.307031;
11510;"overige gebruiksfunctie";0;"0363010001167611";"Hoogoorddreef 133";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";93;0;0;"POINT(4.939251,52.307103)";"POINT(52.307103,4.939251)";4.939251;52.307103;
11511;"overige gebruiksfunctie";0;"0363010001167612";"Hoogoorddreef 135";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";216;0;0;"POINT(4.939206,52.307156)";"POINT(52.307156,4.939206)";4.939206;52.307156;
11512;"overige gebruiksfunctie";0;"0363010001167613";"Hoogoorddreef 137";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.939075,52.30712)";"POINT(52.30712,4.939075)";4.939075;52.30712;
11513;"overige gebruiksfunctie";0;"0363010001167614";"Hoogoorddreef 139";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.938972,52.307093)";"POINT(52.307093,4.938972)";4.938972;52.307093;
11514;"overige gebruiksfunctie";0;"0363010001167615";"Hoogoorddreef 141";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";87;0;0;"POINT(4.93887,52.307065)";"POINT(52.307065,4.93887)";4.93887;52.307065;
11515;"overige gebruiksfunctie";0;"0363010001167616";"Hoogoorddreef 143";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";107;0;0;"POINT(4.938739,52.307011)";"POINT(52.307011,4.938739)";4.938739;52.307011;
11516;"overige gebruiksfunctie";0;"0363010001167617";"Hoogoorddreef 145";0;"overige gebruiksfunctie";"overig bedrijf";"Onduidelijke functie";"Q";93;0;0;"POINT(4.938783,52.306948)";"POINT(52.306948,4.938783)";4.938783;52.306948;
11517;"kantoorfunctie";0;"0363010012085317";"Hoogoorddreef 15";0;"kantoorfunctie";"";"Kantoren";"K";22900;0;0;"POINT(4.945295,52.308294)";"POINT(52.308294,4.945295)";4.945295;52.308294;
