OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
158;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kadoelerbreek";"Landsmeerderdijk";"";"33";"40";"45";"";"56";"POINT(4.9088199,52.4090125)";"POINT(52.4090125,4.9088199)";4.9088199;52.4090125;
159;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"5";"4";"3";"";"4";"POINT(4.9088499,52.4089858)";"POINT(52.4089858,4.9088499)";4.9088499;52.4089858;
160;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kadoelerbreek";"Landsmeerderdijk";"";"18";"12";"14";"";"36";"POINT(4.9088499,52.4089858)";"POINT(52.4089858,4.9088499)";4.9088499;52.4089858;
161;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"2";"2";"4";"";"0 exemplaren";"POINT(4.908879,52.4090201)";"POINT(52.4090201,4.908879)";4.908879;52.4090201;
162;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kadoelerbreek";"Landsmeerderdijk";"";"4";"2";"3";"";"1";"POINT(4.9088781,52.4090506)";"POINT(52.4090506,4.9088781)";4.9088781;52.4090506;
163;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Noord-Hollandsch kanaal";"Meeuwenlaan (Willem-III-sluis)";"SLU";"";"";"2";"0 exemplaren";"0 exemplaren";"POINT(4.9091742,52.3829962)";"POINT(52.3829962,4.9091742)";4.9091742;52.3829962;
164;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"";"";"";"";"1";"POINT(4.9089072,52.4090926)";"POINT(52.4090926,4.9089072)";4.9089072;52.4090926;
165;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noord-Hollandsch kanaal";"Meeuwenlaan";"SLU";"";"";"40";"0 exemplaren";"0 exemplaren";"POINT(4.9092028,52.3830115)";"POINT(52.3830115,4.9092028)";4.9092028;52.3830115;
166;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noord-Hollandsch kanaal";"Sixhavenweg (Willem-III-sluis)";"SLU";"";"";"1";"0 exemplaren";"0 exemplaren";"POINT(4.9092152,52.3832823)";"POINT(52.3832823,4.9092152)";4.9092152;52.3832823;
167;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Nieuwe Achtergracht";"Nieuwe Achtergracht";"";"0 exemplaren";"";"";"";"0 exemplaren";"POINT(4.9094508,52.3627211)";"POINT(52.3627211,4.9094508)";4.9094508;52.3627211;
168;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Nieuwe Prinsengracht";"Nieuwe Prinsengracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.9094531,52.3639075)";"POINT(52.3639075,4.9094531)";4.9094531;52.3639075;
169;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Nieuwe Achtergracht";"Nieuwe Achtergracht";"";"0 exemplaren";"";"";"";"0 exemplaren";"POINT(4.9094779,52.3629271)";"POINT(52.3629271,4.9094779)";4.9094779;52.3629271;
170;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Noord-Hollandsch kanaal";"Meeuwenlaan (Willem-III-sluis)";"SLU";"";"";"1";"0 exemplaren";"0 exemplaren";"POINT(4.909261,52.3830573)";"POINT(52.3830573,4.909261)";4.909261;52.3830573;
171;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"10";"16";"16";"";"36";"POINT(4.908982,52.4090048)";"POINT(52.4090048,4.908982)";4.908982;52.4090048;
172;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"";"7";"5";"";"10";"POINT(4.9089959,52.4090315)";"POINT(52.4090315,4.9089959)";4.9089959;52.4090315;
173;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kadoelerbreek";"Landsmeerderdijk";"";"1";"1";"9";"";"27";"POINT(4.9090259,52.4089858)";"POINT(52.4089858,4.9090259)";4.9090259;52.4089858;
174;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Oosterdok";"Oosterdok";"";"";"";"1";"";"1";"POINT(4.9097559,52.3725287)";"POINT(52.3725287,4.9097559)";4.9097559;52.3725287;
175;"NB_2421";"Tripmadam";"Sedum reflexum";"Ja";"";"BE";"Oosterdok";"Oosterdok";"";"";"";"";"";"1";"POINT(4.9097569,52.3725173)";"POINT(52.3725173,4.9097569)";4.9097569;52.3725173;
176;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"";"";"";"";"1";"POINT(4.908839,52.4090544)";"POINT(52.4090544,4.908839)";4.908839;52.4090544;
177;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Oosterdok";"Prins Hendrikskade= Oosterddok";"";"1";"";"0 exemplaren";"";"1";"POINT(4.9102871,52.3723418)";"POINT(52.3723418,4.9102871)";4.9102871;52.3723418;
178;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Singelgracht";"Mauritskade";"";"";"";"";"";"1";"POINT(4.9106629,52.3605696)";"POINT(52.3605696,4.9106629)";4.9106629;52.3605696;
179;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Singelgracht";"Mauritskade";"";"0 exemplaren";"";"2";"3";"2";"POINT(4.9109261,52.3606688)";"POINT(52.3606688,4.9109261)";4.9109261;52.3606688;
