OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
179;"06.30";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-30.jpg";81;"Zitbank";"POINT(4.869006,52.357782)";"POINT(52.357782,4.869006)";4.869006;52.357782;
180;"06.29";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-29.jpg";81;"Zitbank";"POINT(4.869015,52.357748)";"POINT(52.357748,4.869015)";4.869015;52.357748;
181;"06.28";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-28.jpg";81;"Zitbank";"POINT(4.869026,52.357713)";"POINT(52.357713,4.869026)";4.869026;52.357713;
182;"04.17";"Nog niet geplaatst";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar, nog niet geplaatst";"";63;"Zitbank";"POINT(4.869241,52.357688)";"POINT(52.357688,4.869241)";4.869241;52.357688;
183;"06.34";"Nog niet geplaatst";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar, nog niet geplaatst";"";146;"Zitbank";"POINT(4.866194,52.359098)";"POINT(52.359098,4.866194)";4.866194;52.359098;
184;"06.36";"Nog niet geplaatst";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar, nog niet geplaatst";"";180;"Zitbank";"POINT(4.867107,52.359253)";"POINT(52.359253,4.867107)";4.867107;52.359253;
185;"07.03";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";115;"Zitbank";"POINT(4.868547,52.359623)";"POINT(52.359623,4.868547)";4.868547;52.359623;
186;"07.05";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";155;"Zitbank";"POINT(4.869098,52.359818)";"POINT(52.359818,4.869098)";4.869098;52.359818;
187;"07.06";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";199;"Zitbank";"POINT(4.869717,52.359853)";"POINT(52.359853,4.869717)";4.869717;52.359853;
188;"07.07";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";230;"Zitbank";"POINT(4.870063,52.359687)";"POINT(52.359687,4.870063)";4.870063;52.359687;
189;"07.13";"Nog niet geplaatst";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar, nog niet geplaatst";"";120;"Zitbank";"POINT(4.870376,52.359883)";"POINT(52.359883,4.870376)";4.870376;52.359883;
190;"07.09";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";174;"Zitbank";"POINT(4.870046,52.359105)";"POINT(52.359105,4.870046)";4.870046;52.359105;
191;"07.10";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Ja";"TP-07-10.jpg";148;"Zitbank";"POINT(4.870484,52.359195)";"POINT(52.359195,4.870484)";4.870484;52.359195;
192;"07.11";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";144;"Zitbank";"POINT(4.870542,52.359221)";"POINT(52.359221,4.870542)";4.870542;52.359221;
193;"07.12";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";141;"Zitbank";"POINT(4.870597,52.359246)";"POINT(52.359246,4.870597)";4.870597;52.359246;
194;"07.29";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";162;"Zitbank";"POINT(4.869941,52.358968)";"POINT(52.358968,4.869941)";4.869941;52.358968;
195;"07.01";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";118;"Zitbank";"POINT(4.868771,52.35852)";"POINT(52.35852,4.868771)";4.868771;52.35852;
196;"07.02";"Kastanjebank";"Kastanjebank";"kastanjebank.jpg";"Beschikbaar";"";128;"Zitbank";"POINT(4.868873,52.358611)";"POINT(52.358611,4.868873)";4.868873;52.358611;
197;"11.02";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";91;"Zitbank";"POINT(4.871146,52.359295)";"POINT(52.359295,4.871146)";4.871146;52.359295;
198;"11.01";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";61;"Zitbank";"POINT(4.871156,52.359266)";"POINT(52.359266,4.871156)";4.871156;52.359266;
199;"11.03";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";141;"Zitbank";"POINT(4.871267,52.359428)";"POINT(52.359428,4.871267)";4.871267;52.359428;
200;"11.04";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";146;"Zitbank";"POINT(4.871306,52.359449)";"POINT(52.359449,4.871306)";4.871306;52.359449;
201;"11.05";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";155;"Zitbank";"POINT(4.871351,52.359465)";"POINT(52.359465,4.871351)";4.871351;52.359465;
202;"11.06";"Plankenbank";"Plankenbank";"plankenbank.jpg";"Niet beschikbaar";"";160;"Zitbank";"POINT(4.871397,52.359477)";"POINT(52.359477,4.871397)";4.871397;52.359477;
