OBJECTNUMMER;Naam;Hoofdgroep;Functie;Foto;Website;Opmerking;Begin;Eind;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
248;"Stads Klok- en geschutsgieterij 1614";"Productie";"";"Giethuis.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1657";1614;1800;"PRODUCTIE";"POINT(4.8803809,52.3786437)";"POINT(52.3786437,4.8803809)";4.8803809;52.3786437;
249;"Het Haantje 1661";"Religie";"Schuilkerk";"";"";"";1661;0;"RELIGIE";"POINT(4.8992722,52.3750807)";"POINT(52.3750807,4.8992722)";4.8992722;52.3750807;
250;"Nieuwezijds Huiszittenhuis 1654-1870";"Openbaar";"";"Nieuwezijds Huiszittenhuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1654;1870;"OPENBAAR";"POINT(4.885236,52.3764731)";"POINT(52.3764731,4.885236)";4.885236;52.3764731;
251;"Oudezijds Huiszittenhuis 1654";"Openbaar";"";"OZ Huiszittenhuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1654;0;"OPENBAAR";"POINT(4.9033568,52.3677146)";"POINT(52.3677146,4.9033568)";4.9033568;52.3677146;
252;"Klokken- en geschutgieterij Hemony 1655-1683";"Productie";"";"";"";"";1655;1683;"PRODUCTIE";"POINT(4.8838842,52.3669974)";"POINT(52.3669974,4.8838842)";4.8838842;52.3669974;
253;"Oude Kerks kapel 1250-1306";"Religie";"Kapel";"";"";"";1250;1306;"RELIGIE";"POINT(4.8981159,52.3743102)";"POINT(52.3743102,4.8981159)";4.8981159;52.3743102;
259;"Pottenbakkerij Aan den Overtoom ca. 1650-1879";"Productie";"";"";"";"";1650;1879;"PRODUCTIE";"POINT(4.8618839,52.3589484)";"POINT(52.3589484,4.8618839)";4.8618839;52.3589484;
260;"Pesthuis 1630-1937";"Openbaar";"";"";"";"";1630;1937;"OPENBAAR";"POINT(4.8713548,52.3642584)";"POINT(52.3642584,4.8713548)";4.8713548;52.3642584;
261;"Stallen Oudezijds Huiszittenhuis 1769-1938";"Productie";"";"";"";"";1769;1938;"PRODUCTIE";"POINT(4.955209,52.3658339)";"POINT(52.3658339,4.955209)";4.955209;52.3658339;
262;"Galgenveld ca. 1360-1795";"Openbaar";"Strafinrichting";"galgenveld.jpg";"";"Bron: Cornelis Anthonisz 1544";1360;1795;"OPENBAAR";"POINT(4.9023111,52.3837668)";"POINT(52.3837668,4.9023111)";4.9023111;52.3837668;
263;"Stadsschuitenmakerswerf  1664-1857";"Productie";"";"Stadsschuitenmakerswerf.jpg";"";"";1664;1857;"PRODUCTIE";"POINT(4.9223311,52.369435)";"POINT(52.369435,4.9223311)";4.9223311;52.369435;

